Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SAMN06005883	100.0	0.05	Neural Network (Specific Model)	11	0.875	148372	287.48762286130324	5406678	0.5	5494	442	441406	None
SAMN06126430	100.0	0.11	Neural Network (Specific Model)	11	0.876	147694	308.16085732842606	4865854	0.51	4619	119	364362	None
SAMN06126433	100.0	0.48	Neural Network (Specific Model)	11	0.875	73194	301.28629976580794	5283459	0.51	5124	226	261875	None
SAMN06159503	100.0	0.32	Neural Network (Specific Model)	11	0.877	135487	289.822493978136	5337741	0.51	5397	342	327603	None
SAMN06220084	100.0	0.19	Neural Network (Specific Model)	11	0.878	198322	307.0686116700201	5206491	0.5	4970	115	319848	None
SAMN06220085	100.0	0.33	Neural Network (Specific Model)	11	0.874	101927	286.1274349171673	5381454	0.51	5493	406	250628	None
SAMN06689623	100.0	0.14	Neural Network (Specific Model)	11	0.883	78952	314.1587402240541	5043508	0.51	4731	171	205232	None
SAMN06712425	100.0	0.48	Neural Network (Specific Model)	11	0.877	138295	310.1254244482173	4987946	0.51	4712	145	358981	None
SAMN07197387	100.0	0.24	Neural Network (Specific Model)	11	0.873	198160	307.3074058750517	5098248	0.51	4834	138	441415	None
SAMN07291231	100.0	0.3	Neural Network (Specific Model)	11	0.884	567164	318.60610621371745	5020961	0.51	4651	52	795393	None
SAMN07371045	100.0	0.21	Neural Network (Specific Model)	11	0.877	145022	304.29895641497853	5078404	0.51	4887	191	537429	None
SAMN07371046	100.0	0.07	Neural Network (Specific Model)	11	0.878	194141	306.70069605568443	4958871	0.5	4741	95	654659	None
SAMN07371048	100.0	0.27	Neural Network (Specific Model)	11	0.877	118545	315.3230343555453	4670166	0.51	4337	124	382730	None
SAMN07371049	100.0	0.15	Neural Network (Specific Model)	11	0.879	114291	306.5651986183074	4835914	0.51	4632	142	305959	None
SAMN07371050	100.0	0.15	Neural Network (Specific Model)	11	0.875	100127	299.5593762495002	5129748	0.5	5002	176	243677	None
SAMN07374667	100.0	0.2	Neural Network (Specific Model)	11	0.876	135794	310.37466025507	5078502	0.51	4783	110	350099	None
SAMN07410344	100.0	0.09	Neural Network (Specific Model)	11	0.88	130003	308.5795045045045	4664926	0.51	4440	96	387763	None
SAMN07645984	100.0	0.04	Neural Network (Specific Model)	11	0.878	102962	310.2833973538199	4961137	0.51	4686	171	308120	None
SAMN07722646	100.0	0.06	Neural Network (Specific Model)	11	0.878	91345	304.9781931464174	5010123	0.51	4815	165	261035	None
SAMN07722650	100.0	0.21	Neural Network (Specific Model)	11	0.877	101082	309.0667911221738	5086205	0.51	4821	156	253696	None
SAMN07747760	100.0	0.2	Neural Network (Specific Model)	11	0.876	141736	304.92223597359737	5051674	0.51	4848	114	505229	None
SAMN08146312	100.0	0.12	Neural Network (Specific Model)	11	0.878	116304	307.1074483621949	5019788	0.51	4793	191	403942	None
SAMN08167634	100.0	0.14	Neural Network (Specific Model)	11	0.881	170495	311.72970693653804	5027113	0.51	4743	102	441476	None
SAMN08355151	100.0	0.03	Neural Network (Specific Model)	11	0.874	142773	289.9186260102866	5403715	0.5	5444	385	444453	None
SAMN08714138	100.0	0.09	Neural Network (Specific Model)	11	0.874	86615	295.51542269611576	5319520	0.5	5252	264	433729	None
SAMN08719213	100.0	0.21	Neural Network (Specific Model)	11	0.875	128958	301.89528283421413	5280506	0.51	5109	206	313088	None
SAMN08767333	100.0	0.13	Neural Network (Specific Model)	11	0.879	101059	311.75495262704567	4934352	0.51	4644	158	255883	None
SAMN08930681	100.0	0.11	Neural Network (Specific Model)	11	0.876	124802	305.39390292819894	5206744	0.51	4986	149	488310	None
SAMN09444061	100.0	0.09	Neural Network (Specific Model)	11	0.881	167939	309.8305337018924	4951904	0.51	4703	120	505331	None
SAMN09444068	100.0	0.06	Neural Network (Specific Model)	11	0.877	104639	302.20418641390205	5223028	0.51	5064	231	353709	None
SAMN09828459	100.0	0.19	Neural Network (Specific Model)	11	0.88	103692	303.4550063371356	4889598	0.51	4734	167	344174	None
SAMN09849968	100.0	0.7	Neural Network (Specific Model)	11	0.877	73621	290.3080028080028	5647447	0.5	5698	299	203170	None
SAMN10220974	100.0	0.14	Neural Network (Specific Model)	11	0.88	164698	308.0495989869143	4969365	0.51	4738	113	346166	None
SAMN10221097	100.0	0.7	Neural Network (Specific Model)	11	0.882	166146	315.23091562698244	5064456	0.5	4729	75	356344	None
SAMN10221191	100.0	0.09	Neural Network (Specific Model)	11	0.875	116322	300.88394504818535	5021697	0.51	4877	200	294958	None
SAMN02442801	100.0	0.11	Neural Network (Specific Model)	11	0.877	95865	308.14435925520263	4805838	0.51	4565	136	242961	None
SAMN02442866	100.0	0.46	Neural Network (Specific Model)	11	0.876	185461	306.59009104382807	4948091	0.51	4723	109	411250	None
SAMN02628559	100.0	0.1	Neural Network (Specific Model)	11	0.874	112160	302.9365238285943	5183449	0.51	4994	267	288521	None
SAMN02628562	100.0	0.46	Neural Network (Specific Model)	11	0.879	160186	305.01683436532505	5371393	0.51	5168	133	481930	None
SAMN02628582	100.0	0.2	Neural Network (Specific Model)	11	0.875	125050	299.57016509433964	5215799	0.5	5088	192	401405	None
SAMN02628612	100.0	1.28	Neural Network (Specific Model)	11	0.879	183219	309.61954137587236	5291166	0.5	5015	145	401937	None
SAMN02628628	100.0	0.22	Neural Network (Specific Model)	11	0.878	157068	309.53038788633063	5091388	0.51	4821	137	605502	None
SAMN02628636	100.0	0.25	Neural Network (Specific Model)	11	0.871	105398	296.7768496420048	5131411	0.51	5028	254	442330	None
SAMN02628659	100.0	0.66	Neural Network (Specific Model)	11	0.876	162870	304.8465557275542	5388043	0.51	5168	157	465453	None
SAMN02628661	100.0	0.19	Neural Network (Specific Model)	11	0.873	88672	303.1018478727976	4838645	0.51	4654	182	191229	None
SAMN02628662	100.0	0.27	Neural Network (Specific Model)	11	0.875	217566	309.0424331103679	5062357	0.51	4784	125	391962	None
SAMN02628671	100.0	0.21	Neural Network (Specific Model)	11	0.875	143824	299.0674881516588	5400457	0.5	5275	178	523620	None
SAMN02628684	100.0	0.41	Neural Network (Specific Model)	11	0.876	68397	285.69344448654795	5151229	0.51	5278	363	206801	None
SAMN02628685	100.0	0.2	Neural Network (Specific Model)	11	0.878	86802	300.5517032856279	5085655	0.51	4961	176	284589	None
SAMN02628687	100.0	0.11	Neural Network (Specific Model)	11	0.878	113483	302.0936028257457	5250843	0.51	5096	159	329872	None
SAMN02628690	100.0	0.08	Neural Network (Specific Model)	11	0.874	139339	300.2378095975232	5313658	0.51	5168	164	327864	None
SAMN02628695	100.0	0.34	Neural Network (Specific Model)	11	0.878	79951	296.0781424841477	5414766	0.51	5362	220	357002	None
SAMN03295431	100.0	0.19	Neural Network (Specific Model)	11	0.878	93380	303.7890286657043	5026105	0.51	4849	164	352690	None
SAMN03295439	100.0	0.16	Neural Network (Specific Model)	11	0.876	144141	304.47340959261487	5187194	0.51	4983	227	569026	None
SAMN03295450	100.0	0.25	Neural Network (Specific Model)	11	0.876	129445	307.86485381312616	5150041	0.51	4891	117	442381	None
SAMN03295461	100.0	0.37	Neural Network (Specific Model)	11	0.874	87013	301.93728847302407	5195385	0.51	5023	241	307821	None
SAMN03295463	100.0	0.15	Neural Network (Specific Model)	11	0.878	175761	308.51635220125786	5017446	0.51	4770	119	695298	None
SAMN03462119	100.0	0.06	Neural Network (Specific Model)	11	0.873	142785	294.0282548476454	5459955	0.5	5415	305	663632	None
SAMN03462125	100.0	0.04	Neural Network (Specific Model)	11	0.875	145661	293.91220798794274	5338767	0.5	5308	324	663626	None
SAMN03462126	100.0	0.06	Neural Network (Specific Model)	11	0.873	135781	288.3419216317767	5525587	0.5	5589	462	361890	None
SAMN04158432	100.0	0.14	Neural Network (Specific Model)	11	0.873	24586	291.801602814699	5119940	0.51	5116	591	87110	None
SAMN04160747	100.0	0.01	Neural Network (Specific Model)	11	0.879	80570	306.6774049217002	4670885	0.51	4470	217	228231	None
SAMN04160754	100.0	0.06	Neural Network (Specific Model)	11	0.87	42281	292.4540341349884	5189762	0.51	5156	458	265145	None
SAMN04160758	100.0	0.08	Neural Network (Specific Model)	11	0.87	48231	292.2152448657188	5091017	0.51	5064	442	173809	None
SAMN04160770	100.0	0.33	Neural Network (Specific Model)	11	0.884	95088	315.41419981498615	4620855	0.51	4324	112	304792	None
SAMN04160772	100.0	0.33	Neural Network (Specific Model)	11	0.884	220192	316.5791183294664	4623930	0.51	4310	63	460424	None
SAMN04160773	100.0	0.52	Neural Network (Specific Model)	11	0.887	79501	319.3227362420522	4919708	0.51	4561	137	286375	None
SAMN04191534	100.0	0.01	Neural Network (Specific Model)	11	0.879	87030	310.4108843537415	4665932	0.51	4410	184	228113	None
SAMN04191535	100.0	0.01	Neural Network (Specific Model)	11	0.879	111502	308.9900677200903	4665790	0.51	4430	187	228231	None
SAMN04191548	100.0	0.07	Neural Network (Specific Model)	11	0.874	105869	289.4538626609442	5542017	0.5	5592	325	314154	None
SAMN04191551	100.0	0.11	Neural Network (Specific Model)	11	0.874	5645226	299.969208736126	5740824	0.51	5586	2	5645226	None
SAMN04293301	100.0	0.13	Neural Network (Specific Model)	11	0.88	131328	308.9868560525758	4961936	0.51	4717	183	282684	None
SAMN04293322	100.0	0.14	Neural Network (Specific Model)	11	0.879	123974	304.01803691275165	4939445	0.51	4768	213	259384	None
SAMN04293364	100.0	0.49	Neural Network (Specific Model)	11	0.883	245135	314.1426275612696	5302479	0.51	4978	90	469021	None
SAMN04293368	100.0	0.06	Neural Network (Specific Model)	11	0.878	82293	293.57030790351047	5108145	0.51	5099	334	321484	None
SAMN04293370	100.0	0.17	Neural Network (Specific Model)	11	0.883	186449	314.2187432050446	4903428	0.51	4599	73	449362	None
SAMN04293387	100.0	0.21	Neural Network (Specific Model)	11	0.867	104390	295.1832521908471	5238224	0.5	5135	478	443651	None
SAMN04293391	100.0	0.08	Neural Network (Specific Model)	11	0.882	131543	305.66798009124847	5007109	0.51	4822	161	307439	None
SAMN04293399	100.0	0.19	Neural Network (Specific Model)	11	0.876	140873	308.77519051651143	4986862	0.51	4724	143	320499	None
SAMN04293406	100.0	0.34	Neural Network (Specific Model)	11	0.878	191525	312.5031717263253	4705099	0.51	4414	87	679817	None
SAMN04293420	100.0	0.29	Neural Network (Specific Model)	11	0.874	72833	302.57832552454676	5089936	0.51	4909	253	218905	None
SAMN04293426	100.0	0.24	Neural Network (Specific Model)	11	0.863	69103	290.0545160129543	5591352	0.5	5558	342	209416	None
SAMN04293430	100.0	0.13	Neural Network (Specific Model)	11	0.884	154843	315.0442498271491	4631417	0.51	4339	86	697070	None
SAMN04293431	100.0	0.32	Neural Network (Specific Model)	11	0.885	232369	322.3756930583278	4919881	0.51	4509	90	513557	None
SAMN04335033	100.0	0.06	Neural Network (Specific Model)	11	0.874	57963	292.05594534711963	5421026	0.5	5416	467	167261	None
SAMN04338478	100.0	0.19	Neural Network (Specific Model)	11	0.878	62678	290.09871864284423	5483891	0.51	5541	384	284147	None
SAMN04338506	100.0	0.38	Neural Network (Specific Model)	11	0.872	83258	285.57936796222305	5396985	0.51	5506	477	226396	None
SAMN04396076	99.99	0.0	Neural Network (Specific Model)	11	0.886	15048	294.21305143321814	4891193	0.51	4919	587	62976	None
SAMN04396078	99.99	1.05	Neural Network (Specific Model)	11	0.884	12056	280.8136054421769	4893066	0.51	5145	703	52091	None
SAMN04396080	100.0	0.43	Neural Network (Specific Model)	11	0.888	53356	313.0854503464203	5031418	0.51	4763	217	162738	None
SAMN04396085	100.0	0.01	Neural Network (Specific Model)	11	0.885	20633	301.5394456289979	4784823	0.51	4690	462	91694	None
SAMN04396086	100.0	0.47	Neural Network (Specific Model)	11	0.884	40648	308.06202886065046	4843830	0.51	4643	288	168901	None
SAMN04422324	100.0	0.2	Neural Network (Specific Model)	11	0.882	120338	306.4324607329843	4965762	0.51	4775	126	355457	None
SAMN04422366	100.0	0.04	Neural Network (Specific Model)	11	0.874	115901	297.2326507394767	5372712	0.5	5274	243	314111	None
SAMN04422393	100.0	0.06	Neural Network (Specific Model)	11	0.875	184501	293.2195166605639	5480422	0.5	5462	275	674183	None
SAMN04422400	100.0	0.66	Neural Network (Specific Model)	11	0.875	184501	293.06507037104734	5486510	0.5	5471	293	614862	None
SAMN04422416	100.0	0.05	Neural Network (Specific Model)	11	0.876	146921	295.568856718634	5445399	0.5	5388	261	614399	None
SAMN04422419	100.0	0.06	Neural Network (Specific Model)	11	0.875	148626	292.4203984646317	5476632	0.5	5471	308	362139	None
SAMN04422420	100.0	0.05	Neural Network (Specific Model)	11	0.876	184501	294.8709975939293	5444476	0.5	5403	247	462722	None
SAMN04422425	100.0	0.06	Neural Network (Specific Model)	11	0.875	148791	293.8613352898019	5483656	0.5	5452	282	613850	None
SAMN04422431	100.0	0.05	Neural Network (Specific Model)	11	0.875	142782	295.9475354742345	5423817	0.5	5356	245	614559	None
SAMN04422435	100.0	0.06	Neural Network (Specific Model)	11	0.876	98304	295.13106525376463	5428355	0.5	5379	281	273370	None
SAMN04422437	100.0	0.05	Neural Network (Specific Model)	11	0.876	150227	294.124584103512	5441329	0.5	5410	287	611819	None
SAMN04422439	100.0	0.05	Neural Network (Specific Model)	11	0.875	202375	292.70406295754026	5473989	0.5	5464	319	611819	None
SAMN04429906	100.0	0.06	Neural Network (Specific Model)	11	0.875	148373	293.1950951683748	5483705	0.5	5464	281	403381	None
SAMN04446958	100.0	0.25	Neural Network (Specific Model)	11	0.882	331456	312.8534278959811	4942925	0.51	4653	88	654837	None
SAMN04510413	100.0	0.06	Neural Network (Specific Model)	11	0.878	36021	295.4433478838489	5309068	0.51	5269	427	139054	None
SAMN04510557	100.0	0.18	Neural Network (Specific Model)	11	0.873	77624	302.4446205666733	5234947	0.51	5047	203	261101	None
SAMN04510563	100.0	0.68	Neural Network (Specific Model)	11	0.873	5770602	297.12660646057657	5866200	0.51	5758	2	5770602	None
SAMN04510568	100.0	0.1	Neural Network (Specific Model)	11	0.881	140137	308.8626266982963	4867362	0.51	4637	153	510080	None
SAMN04902851	100.0	0.08	Neural Network (Specific Model)	11	0.882	136524	312.35129356425057	4958398	0.51	4677	102	291251	None
SAMN04902855	100.0	0.14	Neural Network (Specific Model)	11	0.873	133085	302.0341047503045	5104754	0.5	4926	211	390681	None
SAMN04902856	100.0	0.12	Neural Network (Specific Model)	11	0.884	106268	312.0357142857143	4735508	0.51	4480	142	268255	None
SAMN04902860	100.0	0.7	Neural Network (Specific Model)	11	0.878	198168	297.2653098310013	5581409	0.5	5503	222	511614	None
SAMN04902873	100.0	0.29	Neural Network (Specific Model)	11	0.88	87380	306.7654320987654	4987392	0.51	4779	201	287161	None
SAMN04902882	100.0	0.05	Neural Network (Specific Model)	11	0.874	65598	297.58652057060164	4932043	0.51	4837	355	236467	None
SAMN04902883	100.0	0.06	Neural Network (Specific Model)	11	0.877	136924	307.35843373493975	4877707	0.5	4648	141	365870	None
SAMN04902892	100.0	0.28	Neural Network (Specific Model)	11	0.872	35108	290.5989185157561	5351670	0.51	5363	436	135094	None
SAMN04913896	100.0	0.12	Neural Network (Specific Model)	11	0.875	90702	279.2709555345317	5052508	0.51	5285	409	239978	None
SAMN04942837	100.0	0.07	Neural Network (Specific Model)	11	0.882	168354	312.09534834771625	5032119	0.51	4751	105	872156	None
SAMN04942838	100.0	0.07	Neural Network (Specific Model)	11	0.883	185200	311.8745007357578	5034105	0.51	4757	98	594034	None
SAMN04942840	100.0	0.51	Neural Network (Specific Model)	11	0.885	197495	319.9461353185899	4946215	0.51	4567	120	546580	None
SAMN05163875	100.0	0.04	Neural Network (Specific Model)	11	0.882	159962	310.8252041029935	5044827	0.51	4777	97	617743	None
SAMN05171462	100.0	0.31	Neural Network (Specific Model)	11	0.876	65749	284.57543673901534	5512316	0.51	5667	387	202823	None
SAMN05226141	100.0	0.14	Neural Network (Specific Model)	11	0.887	217599	315.40489432703004	4785421	0.51	4495	103	549141	None
SAMN05232926	100.0	0.07	Neural Network (Specific Model)	11	0.877	168835	308.83361593895717	4976345	0.51	4718	109	529908	None
SAMN05232927	100.0	0.12	Neural Network (Specific Model)	11	0.874	110346	303.9694543922477	4946221	0.51	4747	211	318954	None
SAMN05275927	100.0	0.19	Neural Network (Specific Model)	11	0.873	109609	286.43601982742797	5349303	0.51	5447	406	350380	None
SAMN05326673	100.0	0.02	Neural Network (Specific Model)	11	0.878	26872	290.3166760247052	5291653	0.51	5343	559	100693	None
SAMN05326676	100.0	0.02	Neural Network (Specific Model)	11	0.874	92888	289.07525510204084	5434598	0.5	5488	377	314160	None
SAMN05326683	100.0	0.03	Neural Network (Specific Model)	11	0.874	67760	290.09884678747943	5426188	0.5	5463	395	196477	None
SAMN05326698	100.0	0.21	Neural Network (Specific Model)	11	0.871	35041	300.52478314745974	5001573	0.51	4842	357	162336	None
SAMN05326700	100.0	0.21	Neural Network (Specific Model)	11	0.88	62276	300.446212731668	5076206	0.51	4964	221	195525	None
SAMN05326703	100.0	0.03	Neural Network (Specific Model)	11	0.873	45168	291.771134428826	5055118	0.51	5051	374	177391	None
SAMN05439481	100.0	1.22	Neural Network (Specific Model)	11	0.878	82478	304.3966061562747	5261277	0.51	5068	192	294450	None
SAMN05439506	100.0	0.46	Neural Network (Specific Model)	11	0.877	66003	309.83564814814815	5025640	0.51	4752	202	217700	None
SAMN05439511	100.0	0.08	Neural Network (Specific Model)	11	0.884	59775	310.72180762852406	5076407	0.51	4824	225	192850	None
SAMN05439518	100.0	0.07	Neural Network (Specific Model)	11	0.884	43459	308.757048092869	5046924	0.51	4824	229	114693	None
SAMN05439567	100.0	0.05	Neural Network (Specific Model)	11	0.876	125809	306.9942794279428	4772987	0.5	4545	150	360194	None
SAMN05439568	100.0	0.1	Neural Network (Specific Model)	11	0.879	98051	292.60033320992227	5384916	0.5	5402	336	375825	None
SAMN05440254	100.0	0.21	Neural Network (Specific Model)	11	0.884	587644	313.67986449290703	5018155	0.51	4723	58	909671	None
SAMN05440258	100.0	0.09	Neural Network (Specific Model)	11	0.878	92087	300.222963689892	5218014	0.51	5095	167	287747	None
SAMN05440259	100.0	0.11	Neural Network (Specific Model)	11	0.885	119760	313.73721413721415	5108335	0.51	4810	156	455592	None
SAMN05440266	100.0	0.61	Neural Network (Specific Model)	11	0.881	193792	309.6548191511604	5032056	0.51	4783	132	417378	None
SAMN05440269	100.0	0.15	Neural Network (Specific Model)	11	0.884	152642	311.74310306775544	4786327	0.51	4531	151	375668	None
SAMN05440271	100.0	0.28	Neural Network (Specific Model)	11	0.882	195028	310.3185510428101	4797330	0.51	4555	136	380315	None
SAMN05440280	100.0	0.1	Neural Network (Specific Model)	11	0.884	189166	316.95842044134724	4622424	0.51	4305	74	363656	None
SAMN05452846	100.0	0.06	Neural Network (Specific Model)	11	0.881	177516	312.41492405899186	4824862	0.5	4543	94	354329	None
SAMN05464541	100.0	0.11	Neural Network (Specific Model)	11	0.877	52994	304.41717103788386	4639089	0.51	4461	201	190258	None
SAMN05595849	100.0	0.15	Neural Network (Specific Model)	11	0.886	166981	310.75005405405403	4856800	0.51	4625	136	376198	None
SAMN05596101	100.0	0.6	Neural Network (Specific Model)	11	0.878	131723	304.68151582342267	5154384	0.51	4961	132	310564	None
SAMN05596161	100.0	0.33	Neural Network (Specific Model)	11	0.88	123712	294.33245581045503	5323583	0.51	5318	307	253919	None
SAMN05596165	100.0	0.08	Neural Network (Specific Model)	11	0.88	232260	310.72531535450196	4864017	0.51	4598	82	1064644	None
SAMN05596205	100.0	0.13	Neural Network (Specific Model)	11	0.872	81056	304.8217842763297	4940431	0.51	4719	163	229247	None
SAMN05596234	100.0	0.09	Neural Network (Specific Model)	11	0.875	85269	299.60959454034526	5105373	0.51	4982	280	433384	None
SAMN05596240	100.0	0.06	Neural Network (Specific Model)	11	0.879	113264	311.79965156794424	4876250	0.51	4592	132	358555	None
SAMN05596356	100.0	0.09	Neural Network (Specific Model)	11	0.884	210133	314.46313885119855	4713219	0.51	4422	69	600602	None
SAMN05596491	100.0	0.07	Neural Network (Specific Model)	11	0.883	236905	314.61645653616455	4826126	0.51	4521	77	438459	None
SAMN05596653	100.0	0.25	Neural Network (Specific Model)	11	0.879	154900	311.6946158757182	4992700	0.51	4699	123	387461	None
SAMN05596717	100.0	0.08	Neural Network (Specific Model)	11	0.879	139680	306.4555741827326	4981122	0.51	4772	142	326767	None
SAMN05596725	100.0	0.1	Neural Network (Specific Model)	11	0.877	97208	306.0365400495458	5059654	0.51	4844	129	406298	None
SAMN05605369	100.0	0.22	Neural Network (Specific Model)	11	0.881	107584	299.96525911708255	5313450	0.51	5210	224	378203	None
SAMN05605370	100.0	0.25	Neural Network (Specific Model)	11	0.876	75642	288.687337541775	5312030	0.51	5386	418	243586	None
SAMN05605374	100.0	0.23	Neural Network (Specific Model)	11	0.881	97610	298.1979027645377	5318396	0.51	5245	264	360625	None
SAMN05605391	100.0	0.34	Neural Network (Specific Model)	11	0.875	117682	289.0756115641216	5338427	0.5	5396	377	254735	None
SAMN05605418	100.0	0.09	Neural Network (Specific Model)	11	0.879	139063	307.32540496206684	5104660	0.51	4877	163	395082	None
SAMN05605426	100.0	0.26	Neural Network (Specific Model)	11	0.873	73167	283.778445229682	5507567	0.5	5660	471	197218	None
SAMN05605428	100.0	0.32	Neural Network (Specific Model)	11	0.874	56155	284.3989342806394	5485537	0.5	5630	455	222246	None
SAMN05605430	100.0	0.1	Neural Network (Specific Model)	11	0.88	155448	307.19758147161303	5103147	0.51	4879	160	465848	None
SAMN05757714	100.0	0.08	Neural Network (Specific Model)	11	0.881	231317	309.253762541806	5029089	0.51	4784	103	738195	None
SAMN05757740	100.0	0.04	Neural Network (Specific Model)	11	0.877	138731	308.3001679261125	5015801	0.5	4764	112	541778	None
SAMN05859955	100.0	0.4	Neural Network (Specific Model)	11	0.873	107495	288.153789142116	5331438	0.5	5397	344	271403	None
SAMN05859958	100.0	0.41	Neural Network (Specific Model)	11	0.874	107495	287.33466352258296	5429088	0.5	5513	351	277590	None
SAMN06005810	100.0	0.09	Neural Network (Specific Model)	11	0.875	135605	290.3270185764208	5402451	0.5	5437	402	270337	None
SAMN06005819	100.0	0.1	Neural Network (Specific Model)	11	0.876	147587	293.10599334073254	5417638	0.5	5406	301	613859	None
SAMN06005823	100.0	0.05	Neural Network (Specific Model)	11	0.875	135605	290.92324764194564	5380568	0.5	5407	353	314114	None
SAMN06005831	100.0	0.04	Neural Network (Specific Model)	11	0.874	171054	295.5736184708554	5349186	0.5	5284	280	644517	None
SAMN06005833	100.0	0.07	Neural Network (Specific Model)	11	0.875	148786	287.7480343102216	5512485	0.5	5596	407	440879	None
SAMN06005836	100.0	0.05	Neural Network (Specific Model)	11	0.875	149450	294.3215289488477	5373509	0.5	5337	317	375097	None
SAMN06005845	100.0	0.06	Neural Network (Specific Model)	11	0.876	142782	293.1760935143288	5314409	0.5	5304	316	440887	None
SAMN06005850	100.0	0.06	Neural Network (Specific Model)	11	0.874	99450	291.7580228697897	5416310	0.5	5422	383	392630	None
SAMN06005853	100.0	0.08	Neural Network (Specific Model)	11	0.876	107667	291.72557364914877	5390741	0.5	5404	382	349843	None
SAMN06005880	100.0	0.07	Neural Network (Specific Model)	11	0.875	129278	290.3359345968042	5345066	0.5	5382	378	441444	None
SAMN06220077	100.0	0.31	Neural Network (Specific Model)	11	0.877	151285	295.5137911356287	5303590	0.51	5257	218	329163	None
SAMN06220079	100.0	0.3	Neural Network (Specific Model)	11	0.874	135486	287.1163708086785	5483208	0.51	5577	361	255073	None
SAMN06220092	100.0	0.31	Neural Network (Specific Model)	11	0.877	156334	296.2913566113337	5302202	0.51	5241	195	329163	None
SAMN06220109	100.0	0.3	Neural Network (Specific Model)	11	0.876	133951	292.1009687034277	5358160	0.51	5368	304	328005	None
SAMN06220116	100.0	0.24	Neural Network (Specific Model)	11	0.879	213607	295.75858011374777	5135469	0.51	5099	201	605127	None
SAMN06220119	100.0	0.4	Neural Network (Specific Model)	11	0.878	135490	294.2555083107847	5191136	0.51	5174	225	368136	None
SAMN06220131	100.0	0.11	Neural Network (Specific Model)	11	0.875	108938	301.37248387727186	5279076	0.5	5117	172	318443	None
SAMN06220133	100.0	0.19	Neural Network (Specific Model)	11	0.877	124930	306.471959798995	5204433	0.5	4975	147	526941	None
SAMN06220134	100.0	0.15	Neural Network (Specific Model)	11	0.876	139278	302.7410592143834	5295947	0.51	5117	148	384103	None
SAMN06220135	100.0	0.14	Neural Network (Specific Model)	11	0.875	145216	301.74484636328276	5312074	0.51	5142	168	384637	None
SAMN06645802	100.0	0.14	Neural Network (Specific Model)	11	0.879	193489	306.83043751308355	4996014	0.51	4777	144	512062	None
SAMN06689618	100.0	0.28	Neural Network (Specific Model)	11	0.879	67888	306.9590095713691	5024927	0.51	4806	258	246596	None
SAMN06689622	100.0	0.37	Neural Network (Specific Model)	11	0.88	87052	307.34861609972535	4952493	0.51	4733	225	255687	None
SAMN07229622	100.0	0.13	Neural Network (Specific Model)	11	0.879	186236	312.64647916238965	5186116	0.51	4871	136	315433	None
SAMN07229639	100.0	0.29	Neural Network (Specific Model)	11	0.873	135726	300.85038138079403	5273781	0.5	5113	138	392147	None
SAMN07283930	100.0	0.13	Neural Network (Specific Model)	11	0.876	105962	311.4822006472492	4608684	0.51	4326	123	593450	None
SAMN07283931	100.0	0.15	Neural Network (Specific Model)	11	0.878	108639	308.2586570945946	4981303	0.51	4736	149	318762	None
SAMN07291232	100.0	0.11	Neural Network (Specific Model)	11	0.88	106946	309.2273112807464	4964968	0.51	4716	142	271886	None
SAMN07374662	100.0	0.15	Neural Network (Specific Model)	11	0.878	112077	308.020202020202	4990289	0.51	4752	144	447063	None
SAMN07374666	100.0	0.07	Neural Network (Specific Model)	11	0.876	136882	299.92668024439917	5034247	0.5	4910	155	288654	None
SAMN07410333	100.0	0.32	Neural Network (Specific Model)	11	0.875	71132	301.23629133528675	4927908	0.51	4778	218	209951	None
SAMN07450958	100.0	0.12	Neural Network (Specific Model)	11	0.874	155079	311.1434665469241	4746719	0.51	4454	104	444050	None
SAMN07537146	100.0	0.32	Neural Network (Specific Model)	11	0.872	101800	306.1105195911414	4935156	0.51	4696	134	402595	None
SAMN07537151	100.0	0.42	Neural Network (Specific Model)	11	0.881	211652	310.75763568446496	4809869	0.51	4551	111	680600	None
SAMN07608069	100.0	0.03	Neural Network (Specific Model)	11	0.879	150948	310.68232263178754	5344085	0.5	5046	157	394148	None
SAMN07645991	100.0	0.14	Neural Network (Specific Model)	11	0.88	188480	313.1016225448335	4991961	0.51	4684	78	568322	None
SAMN07722632	100.0	0.4	Neural Network (Specific Model)	11	0.88	139489	305.1871122673604	5187550	0.51	4997	110	410474	None
SAMN07722652	100.0	0.05	Neural Network (Specific Model)	11	0.873	98439	296.140377076722	5440044	0.51	5357	209	327572	None
SAMN07722654	100.0	0.06	Neural Network (Specific Model)	11	0.873	74146	300.5403645833333	4748549	0.51	4608	214	181029	None
SAMN07747733	100.0	0.1	Neural Network (Specific Model)	11	0.88	147589	311.3018585772271	4961494	0.51	4681	91	580070	None
SAMN07747746	100.0	0.14	Neural Network (Specific Model)	11	0.877	109546	301.1246267171013	5165025	0.51	5023	234	370489	None
SAMN07747782	100.0	0.38	Neural Network (Specific Model)	11	0.876	85696	287.1368518518519	5300781	0.5	5400	331	231767	None
SAMN07747806	100.0	0.19	Neural Network (Specific Model)	11	0.883	154815	312.65756162558296	4776326	0.51	4503	113	630960	None
SAMN07781658	100.0	0.23	Neural Network (Specific Model)	11	0.875	115697	299.36623690572117	5088082	0.5	4964	204	252007	None
