target_genome	Collection_Date	Latitude	Longitude	Generic_Host	Source_Niche	Source_Type	PhG	ST	CC	Number_Inc	Acq_Resist	Year	n_contigs_genome	n_hits_genome	median_pid_genome	median_cov_genome	mean_n_hits.blast	n_hits_genome_category	bakta.n_hits_genome	has_tra_hit	n.multihit.genes	bakta.n_distinct_hits	bakta.n_hits_genome_category	is.functional	n.distinct.func.genes	n.func.genes	is.functional.noreg	n.distinct.func.genes.noreg	n.func.genes.noreg	n.distinct.MPF_GENES	has_mandatory	has_relaxase	is.functional.coluzzi.3	is.functional.coluzzi.6	is.functional.coluzzi.12	mob_classification_coluzzi	mob_classification	functional_category	n_MPF_types	n_relaxase_types	n_virb4_types	n_t4cp_types	MOBC.n_genes	MOBF.n_genes	MOBH.n_genes	MOBP1.n_genes	virb4.n_genes	MPF_F.n_genes	MPF_I.n_genes	MPF_T.n_genes	MOBQ.n_genes	MPF_G.n_genes	MOBV.n_genes	MOBC.n_distinct_genes	MOBF.n_distinct_genes	MOBH.n_distinct_genes	MOBP1.n_distinct_genes	virb4.n_distinct_genes	MPF_F.n_distinct_genes	MPF_I.n_distinct_genes	MPF_T.n_distinct_genes	MOBQ.n_distinct_genes	MPF_G.n_distinct_genes	MOBV.n_distinct_genes	n.nonF_relaxase_types	n.nonF_MPF_types	n.replicons	n.incF.replicons	has.incF_replicon
SAMN04191546	2013-08-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	0	No	2013	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	FALSE
SAMN04191537	2015-04-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	D	38	ST38 Cplx	5	Yes	2015	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	1	1	0	NA	NA	NA	4	2	NA	NA	15	NA	NA	NA	NA	NA	NA	1	1	NA	NA	8	NA	NA	NA	1	1	3	0	FALSE
SAMN04191535	2014-11-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	A	5204	NA	1	Yes	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	1	1	0	NA	NA	NA	1	1	NA	NA	7	NA	NA	NA	NA	NA	NA	1	1	NA	NA	6	NA	NA	NA	1	1	1	0	FALSE
SAMN04191534	2014-11-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	A	5204	NA	1	Yes	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	1	1	0	NA	NA	NA	1	1	NA	NA	7	NA	NA	NA	NA	NA	NA	1	1	NA	NA	6	NA	NA	NA	1	1	1	0	FALSE
SAMN03702810	2014-12-01	31.9685988	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	No	2014	3	34	97.354	100	0.944444444444444	[30,40)	34	1	3	31	[23,36)	TRUE	23	25	TRUE	20	22	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	3	1	14	NA	1	NA	NA	NA	NA	1	NA	1	1	11	NA	1	NA	NA	NA	1	1	4	4	TRUE
SAMN04191561	2012-01-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	0	0	NA	NA	NA	3	NA	2	NA	1	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	1	1	3	3	TRUE
SAMN04191556	2012-01-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	0	0	NA	NA	NA	2	NA	2	NA	1	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	1	1	3	3	TRUE
SAMN04191555	2012-01-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	0	0	NA	NA	NA	2	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	NA	1	NA	2	NA	NA	NA	1	1	3	3	TRUE
SAMN04191551	2011-07-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	Yes	2011	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	1	0	0	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	1	1	3	3	TRUE
SAMN04191550	2011-07-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	3	Yes	2011	2	3	91.584	99.753	0.0833333333333333	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	2	1	10	NA	5	NA	NA	NA	NA	NA	NA	1	1	1	NA	5	NA	NA	NA	1	1	3	3	TRUE
SAMN04191549	2011-07-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	3	Yes	2011	2	3	91.584	99.753	0.0833333333333333	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	2	1	2	NA	5	NA	NA	NA	NA	NA	NA	1	1	1	NA	5	NA	NA	NA	1	1	3	3	TRUE
SAMN04191548	2011-07-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	3	Yes	2011	2	3	91.584	99.753	0.0833333333333333	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	2	1	11	NA	4	NA	NA	NA	NA	NA	NA	1	1	1	NA	4	NA	NA	NA	1	1	3	3	TRUE
SAMN04293434	2014-07-01	40.0583238	-74.4056612	Bovine	Livestock	Bovine	B1	154	NA	1	No	2014	1	5	97.541	100	0.138888888888889	[5,30)	4	1	0	4	[0,5)	FALSE	2	2	FALSE	2	2	1	FALSE	0	FALSE	FALSE	FALSE	mobless	mobless	missing	1	0	0	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0	0	3	3	TRUE
SAMN04293431	2014-07-01	32.3182314	-86.902298	Poultry	Livestock	Chicken	D	5897	NA	5	Yes	2014	2	31	98.63	100	0.861111111111111	[30,40)	27	1	0	27	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	2	1	0	NA	1	NA	NA	1	11	NA	NA	1	NA	NA	NA	1	NA	NA	1	10	NA	NA	1	NA	NA	1	0	12	2	TRUE
SAMN04293430	2014-07-01	35.5174913	-86.5804473	Bovine	Livestock	Bovine	B1	1308	ST86 Cplx	0	No	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	FALSE
SAMN04293429	2014-07-01	41.2033216	-77.1945247	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	5	No	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	3	3	1	0	NA	NA	1	1	1	11	5	1	1	NA	NA	NA	NA	1	1	1	10	5	1	1	NA	NA	3	2	4	0	FALSE
SAMN04293426	2014-07-01	37.9642529	-91.8318334	Poultry	Livestock	Chicken	A	5898	NA	6	Yes	2014	1	18	99.058	100	0.5	[5,30)	16	1	0	16	[5,23)	FALSE	13	13	FALSE	10	10	7	FALSE	0	FALSE	FALSE	FALSE	mobless	mobless	incomplete	4	3	1	0	NA	NA	1	1	2	12	16	1	2	20	NA	NA	NA	1	1	1	6	15	1	1	18	NA	3	3	7	2	TRUE
SAMN04293421	2014-10-01	41.2033216	-77.1945247	Swine	Livestock	Swine	B1	58	ST155 Cplx	1	No	2014	2	36	98.7445	100	1	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	1	1	0	NA	1	NA	NA	1	12	NA	NA	NA	NA	NA	NA	1	NA	NA	1	10	NA	NA	NA	NA	NA	0	0	2	2	TRUE
SAMN04293420	2014-10-01	32.3546679	-89.3985283	Swine	Livestock	Swine	B1	5900	ST155 Cplx	6	Yes	2014	2	37	98.864	100	1.02777777777778	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	NA	2	10	NA	5	1	NA	NA	NA	1	NA	NA	1	10	NA	5	1	NA	NA	1	1	8	2	TRUE
SAMN04293415	2014-10-01	43.7844397	-88.7878678	Bovine	Livestock	Bovine	B1	2005	NA	0	No	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	FALSE
SAMN04293406	2014-10-01	37.4315734	-78.6568942	Swine	Livestock	Swine	A	10	ST10 Cplx	3	Yes	2014	1	9	98.864	100	0.25	[5,30)	8	1	0	8	[5,23)	FALSE	4	4	FALSE	1	1	1	FALSE	0	FALSE	FALSE	FALSE	mobless	mobless	missing	1	0	0	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0	0	3	3	TRUE
SAMN04293399	2014-10-01	43.7844397	-88.7878678	Swine	Livestock	Swine	B1	5905	ST155 Cplx	4	Yes	2014	1	35	98.864	100	0.972222222222222	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	2	1	0	NA	1	NA	NA	1	10	NA	NA	1	NA	NA	NA	1	NA	NA	1	10	NA	NA	1	NA	NA	1	0	3	3	TRUE
SAMN04293391	2014-09-01	35.7595731	-79.0192997	Poultry	Livestock	Chicken	B1	602	ST446 Cplx	2	Yes	2014	1	32	99.248	100	0.888888888888889	[30,40)	32	1	0	32	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	3	1	10	NA	3	NA	NA	NA	NA	1	NA	1	1	10	NA	3	NA	NA	NA	1	1	3	2	TRUE
SAMN04293387	2014-09-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	A	10	ST10 Cplx	4	No	2014	1	5	63.47	95.885	0.138888888888889	[5,30)	10	1	0	10	[5,23)	FALSE	8	8	FALSE	8	8	4	FALSE	1	FALSE	FALSE	FALSE	pdconj	mob	incomplete	3	2	1	0	NA	1	1	NA	1	8	NA	1	NA	20	NA	NA	1	1	NA	1	5	NA	1	NA	18	NA	1	2	3	2	TRUE
SAMN04293378	2014-09-01	32.3546679	-89.3985283	Poultry	Livestock	Chicken	A	48	ST10 Cplx	7	Yes	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	4	2	1	0	NA	NA	NA	2	1	3	15	1	1	18	NA	NA	NA	NA	1	1	1	15	1	1	18	NA	2	3	6	2	TRUE
SAMN04293376	2014-09-01	35.5174913	-86.5804473	Swine	Livestock	Swine	B1	58	ST155 Cplx	1	No	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	1	1	0	NA	NA	NA	1	1	NA	NA	6	NA	NA	NA	NA	NA	NA	1	1	NA	NA	6	NA	NA	NA	1	1	1	0	FALSE
SAMN04293370	2014-05-01	40.6331249	-89.3985283	Poultry	Livestock	Chicken	B1	2602	NA	2	Yes	2014	2	35	98.936	100	0.972222222222222	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	1	1	0	NA	1	NA	NA	1	11	NA	NA	NA	NA	NA	NA	1	NA	NA	1	10	NA	NA	NA	NA	NA	0	0	3	3	TRUE
SAMN04293368	2014-05-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	A	398	ST398 Cplx	3	No	2014	13	52	98.8035	100	1.44444444444444	[40,110]	38	1	6	32	[36,84]	TRUE	23	28	TRUE	20	23	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	2	2	15	NA	2	NA	NA	NA	NA	1	NA	1	1	11	NA	2	NA	NA	NA	1	1	4	4	TRUE
SAMN04293364	2014-05-01	35.7595731	-79.0192997	Poultry	Livestock	Chicken	D	5897	NA	6	Yes	2014	17	63	98.077	100	1.75	[40,110]	50	1	15	33	[36,84]	FALSE	22	33	FALSE	19	28	11	TRUE	1	TRUE	TRUE	FALSE	conj	mob	incomplete	2	2	1	0	NA	3	NA	1	2	19	15	NA	NA	NA	NA	NA	1	NA	1	1	10	15	NA	NA	NA	NA	1	1	6	4	TRUE
SAMN04293350	2014-12-01	44.3148443	-85.6023643	Swine	Livestock	Swine	B1	58	ST155 Cplx	3	Yes	2014	1	35	98.864	100	0.972222222222222	[30,40)	35	1	0	35	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	1	1	0	NA	1	NA	NA	1	11	NA	NA	NA	NA	NA	NA	1	NA	NA	1	10	NA	NA	NA	NA	NA	0	0	3	3	TRUE
SAMN04293348	2014-12-01	32.1656221	-82.9000751	Poultry	Livestock	Chicken	B1	212	NA	5	Yes	2014	3	37	98.077	100	1.02777777777778	[30,40)	32	1	0	32	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	1	NA	2	21	NA	1	NA	NA	NA	NA	1	1	NA	1	12	NA	1	NA	NA	NA	1	1	5	3	TRUE
SAMN04293343	2014-12-01	35.5174913	-86.5804473	Bovine	Livestock	Bovine	B1	666	ST446 Cplx	2	No	2014	3	43	98.592	100	1.19444444444444	[40,110]	57	1	21	35	[36,84]	TRUE	23	42	TRUE	20	37	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	3	2	1	0	NA	2	1	NA	4	21	NA	1	NA	24	NA	NA	1	1	NA	1	10	NA	1	NA	17	NA	1	2	3	3	TRUE
SAMN04293337	2014-12-01	41.8780025	-93.097702	Swine	Livestock	Swine	B1	58	ST155 Cplx	3	Yes	2014	1	35	99.174	100	0.972222222222222	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	1	1	0	NA	1	NA	NA	1	11	NA	1	NA	NA	NA	NA	1	NA	NA	1	10	NA	1	NA	NA	NA	0	1	4	3	TRUE
SAMN04293336	2014-12-01	35.20105	-91.8318334	Poultry	Livestock	Chicken	D	720	NA	2	No	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	0	0	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0	0	2	0	FALSE
SAMN04293322	2014-11-01	32.1656221	-82.9000751	Poultry	Livestock	Chicken	B1	3190	NA	3	Yes	2014	7	42	98.6465	100	1.16666666666667	[40,110]	35	1	4	31	[23,36)	FALSE	22	24	FALSE	19	19	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	incomplete	2	2	1	0	NA	1	NA	1	1	13	NA	1	NA	NA	NA	NA	1	NA	1	1	10	NA	1	NA	NA	NA	1	1	6	2	TRUE
SAMN04293317	2014-03-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	278	ST278 Cplx	0	No	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	0	0	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0	0	0	0	FALSE
SAMN04293313	2014-02-01	40.7127753	-74.0059728	Bovine	Livestock	Bovine	A	10	ST10 Cplx	2	No	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	2	TRUE
SAMN04293311	2014-02-01	46.729553	-94.6858998	Bovine	Livestock	Bovine	B1	5918	ST278 Cplx	0	Yes	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	0	0	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0	0	0	0	FALSE
SAMN04293301	2014-03-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	2	Yes	2014	1	35	98.864	100	0.972222222222222	[30,40)	35	1	0	35	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	1	1	0	NA	1	NA	NA	1	11	NA	NA	NA	NA	NA	NA	1	NA	NA	1	10	NA	NA	NA	NA	NA	0	0	3	3	TRUE
SAMN04293279	2014-01-01	43.7844397	-88.7878678	Bovine	Livestock	Bovine	F	117	NA	4	Yes	2014	14	49	99.197	100	1.36111111111111	[40,110]	40	1	8	31	[36,84]	FALSE	22	29	FALSE	19	24	12	FALSE	1	FALSE	FALSE	FALSE	pdconj	mob	incomplete	3	0	1	0	NA	NA	NA	NA	1	17	2	1	NA	NA	NA	NA	NA	NA	NA	1	10	2	1	NA	NA	NA	0	2	3	2	TRUE
SAMN04422324	2014-09-01	47.7510741	-120.7401385	Bovine	Food	Bovine	B1	442	NA	2	No	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	2	2	0	0	NA	NA	NA	1	NA	1	15	NA	1	NA	NA	NA	NA	NA	1	NA	1	15	NA	1	NA	NA	2	1	2	0	FALSE
SAMN04422322	2014-09-01	47.7510741	-120.7401385	Bovine	Food	Bovine	E	11	ST11 Cplx	2	No	2014	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	2	1	2	NA	5	NA	NA	NA	NA	NA	NA	1	1	1	NA	5	NA	NA	NA	1	1	3	3	TRUE
SAMN04422352	2014-10-01	46.729553	-94.6858998	Bovine	Food	Bovine	B1	1967	ST20 Cplx	3	No	2014	1	33	98.936	100	0.916666666666667	[30,40)	33	1	0	33	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	2	1	0	NA	1	NA	1	1	12	NA	NA	NA	NA	NA	NA	1	NA	1	1	10	NA	NA	NA	NA	NA	1	0	3	2	TRUE
SAMN04396077	2013-06-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	2328	NA	3	Yes	2013	1	36	98.7335	100	1	[30,40)	33	1	0	33	[23,36)	FALSE	22	22	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	incomplete	2	2	1	0	NA	1	NA	1	2	10	NA	7	NA	NA	NA	NA	1	NA	1	1	10	NA	6	NA	NA	NA	1	1	4	2	TRUE
SAMN04422435	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	2	1	2	NA	7	NA	NA	NA	NA	NA	NA	1	1	1	NA	6	NA	NA	NA	1	1	4	3	TRUE
SAMN04422431	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	1	1	3	NA	7	NA	NA	NA	NA	NA	NA	1	1	1	NA	6	NA	NA	NA	1	1	4	3	TRUE
SAMN04422425	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	1	1	2	NA	7	NA	NA	NA	NA	NA	NA	1	1	1	NA	6	NA	NA	NA	1	1	4	3	TRUE
SAMN04422423	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	1	1	2	NA	7	NA	NA	NA	NA	NA	NA	1	1	1	NA	6	NA	NA	NA	1	1	4	3	TRUE
SAMN04422420	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	1	1	2	NA	7	NA	NA	NA	NA	NA	NA	1	1	1	NA	6	NA	NA	NA	1	1	4	3	TRUE
SAMN04422419	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	1	1	2	NA	7	NA	NA	NA	NA	NA	NA	1	1	1	NA	6	NA	NA	NA	1	1	4	3	TRUE
SAMN04422416	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	1	1	2	NA	7	NA	NA	NA	NA	NA	NA	1	1	1	NA	6	NA	NA	NA	1	1	4	3	TRUE
SAMN04429906	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	1	1	2	NA	7	NA	NA	NA	NA	NA	NA	1	1	1	NA	6	NA	NA	NA	1	1	4	3	TRUE
SAMN04422439	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	1	1	2	NA	7	NA	NA	NA	NA	NA	NA	1	1	1	NA	6	NA	NA	NA	1	1	4	3	TRUE
SAMN04422437	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765	0.0555555555555556	[0,5)	3	1	0	3	[0,5)	FALSE	2	2	FALSE	2	2	0	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	2	1	1	0	NA	NA	NA	1	1	3	NA	7	NA	NA	NA	NA	NA	NA	1	1	1	NA	6	NA	NA	NA	1	1	4	3	TRUE
SAMN04510568	2014-09-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	155	ST155 Cplx	1	Yes	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	2	0	0	NA	NA	1	1	NA	5	NA	NA	NA	NA	NA	NA	NA	1	1	NA	5	NA	NA	NA	NA	NA	2	0	1	0	FALSE
SAMN04510561	2014-09-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	155	ST155 Cplx	1	Yes	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	1	0	0	NA	NA	1	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	5	NA	NA	NA	NA	NA	1	0	1	0	FALSE
