target_genome	Collection_Date	Latitude	Longitude	Generic_Host	Source_Niche	Source_Type	PhG	ST	CC	Number_Inc	Acq_Resist	Year	n_contigs_genome	n_hits_genome	median_pid_genome	median_cov_genome
193	SAMN04293337	2014-12-01	41.8780025	-93.097702	Swine	Livestock	Swine	B1	58	ST155 Cplx	3	Yes	2014	1	35	99.174	100
194	SAMN04293336	2014-12-01	35.20105	-91.8318334	Poultry	Poultry	Chicken	D	720	NA	2	No	2014	0	0	0	0
195	SAMN04293322	2014-11-01	32.1656221	-82.9000751	Poultry	Poultry	Chicken	B1	3190	NA	3	Yes	2014	7	42	98.6465	100
196	SAMN04293317	2014-03-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	278	ST278 Cplx	0	No	2014	0	0	0	0
197	SAMN04293313	2014-02-01	40.7127753	-74.0059728	Bovine	Livestock	Bovine	A	10	ST10 Cplx	2	No	2014	0	0	0	0
198	SAMN04293311	2014-02-01	46.729553	-94.6858998	Bovine	Livestock	Bovine	B1	5918	ST278 Cplx	0	Yes	2014	0	0	0	0
199	SAMN04293301	2014-03-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	2	Yes	2014	1	35	98.864	100
200	SAMN04293279	2014-01-01	43.7844397	-88.7878678	Bovine	Livestock	Bovine	F	117	NA	4	Yes	2014	14	49	99.197	100
201	SAMN04422324	2014-09-01	47.7510741	-120.7401385	Bovine	Food	Bovine	B1	442	NA	2	No	2014	0	0	0	0
202	SAMN04422322	2014-09-01	47.7510741	-120.7401385	Bovine	Food	Bovine	E	11	ST11 Cplx	2	No	2014	1	2	94.607	99.8765
203	SAMN04422352	2014-10-01	46.729553	-94.6858998	Bovine	Food	Bovine	B1	1967	ST20 Cplx	3	No	2014	1	33	98.936	100
204	SAMN04396077	2013-06-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	2328	NA	3	Yes	2013	2	39	98.859	100
205	SAMN04422435	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
206	SAMN04422431	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
207	SAMN04422425	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
208	SAMN04422423	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
209	SAMN04422420	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
210	SAMN04422419	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
211	SAMN04422416	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
212	SAMN04429906	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
213	SAMN04422439	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
214	SAMN04422437	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
215	SAMN04510568	2014-09-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	155	ST155 Cplx	1	Yes	2014	0	0	0	0
216	SAMN04510561	2014-09-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	155	ST155 Cplx	1	Yes	2014	0	0	0	0
217	SAMN04510557	2014-09-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	F	117	NA	3	Yes	2014	11	74	97.7475	100
218	SAMN04510562	2014-09-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	155	ST155 Cplx	1	Yes	2014	0	0	0	0
219	SAMN04510563	2014-09-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	Yes	2014	1	2	94.607	99.8765
220	SAMN04510394	2016-02-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	2	No	2016	1	2	94.607	99.8765
221	SAMN04510388	2016-02-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	2	No	2016	1	2	94.607	99.8765
222	SAMN04510378	2016-02-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	2	No	2016	1	2	94.607	99.8765
223	SAMN04510419	2016-02-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	2	No	2016	1	2	94.607	99.8765
224	SAMN04902892	2013-12-01	41.2033216	-77.1945247	Swine	Livestock	Swine	A	10	ST10 Cplx	8	Yes	2013	18	64	98.319	99.6395
225	SAMN04902883	2013-10-01	41.2033216	-77.1945247	Swine	Livestock	Swine	B1	101	ST101 Cplx	6	No	2013	1	35	99.123	100
226	SAMN04902882	2013-10-01	41.2033216	-77.1945247	Bovine	Livestock	Bovine	B1	101	ST101 Cplx	6	No	2013	1	35	99.123	100
227	SAMN04902873	2013-07-01	41.2033216	-77.1945247	Poultry	Poultry	Chicken	B1	683	ST155 Cplx	3	Yes	2013	23	67	98.63	98.936
228	SAMN04902866	2013-04-01	41.2033216	-77.1945247	Swine	Livestock	Swine	B1	58	ST155 Cplx	1	Yes	2013	0	0	0	0
229	SAMN04902864	2013-03-01	41.2033216	-77.1945247	Bovine	Food	Bovine	A	939	NA	0	No	2013	0	0	0	0
230	SAMN04902856	2012-11-01	41.2033216	-77.1945247	Bovine	Livestock	Bovine	B1	101	ST101 Cplx	0	No	2012	0	0	0	0
231	SAMN05163875	2015-10-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	906	NA	7	Yes	2015	2	16	89.124	98.3645
232	SAMN05163867	2015-10-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	5727	NA	3	Yes	2015	0	0	0	0
233	SAMN05171462	2016-01-01	31.9685988	-99.9018131	Bovine	Food	Bovine	B1	1967	ST20 Cplx	4	No	2016	1	30	98.479	100
234	SAMN04446958	2012-06-01	64.2008413	-149.4936733	Bovine	Food	Bovine	B1	6345	NA	0	Yes	2012	0	0	0	0
235	SAMN04942840	2015-09-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	5727	NA	3	Yes	2015	0	0	0	0
236	SAMN04942838	2015-09-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	4086	NA	3	Yes	2015	0	0	0	0
237	SAMN04942837	2015-09-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	4086	NA	3	Yes	2015	0	0	0	0
238	SAMN05232928	2015-10-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	A	744	ST10 Cplx	7	Yes	2015	3	36	91.9235	100
239	SAMN05232927	2015-10-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	A	744	ST10 Cplx	7	Yes	2015	3	36	91.9235	100
240	SAMN05232926	2015-10-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	4086	NA	4	Yes	2015	1	36	99.396	100
241	SAMN04510413	2016-02-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	2	No	2016	1	2	94.607	99.8765
242	SAMN04422406	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
243	SAMN04422400	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
244	SAMN04422393	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
245	SAMN04422390	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
246	SAMN04422389	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
247	SAMN04422386	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
248	SAMN04422382	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
249	SAMN04422378	2014-11-01	41.4925374	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	Yes	2014	1	2	94.607	99.8765
250	SAMN04422366	2014-11-01	32.1656221	-82.9000751	Bovine	Food	Bovine	E	11	ST11 Cplx	1	No	2014	1	2	94.607	99.8765
251	SAMN04335033	2011-09-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	2	No	2011	2	3	91.584	99.753
252	SAMN04335042	2012-01-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	2	94.607	99.8765
253	SAMN04913896	2014-01-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	A	119	NA	1	No	2014	2	6	97.7075	90.781
254	SAMN05439504	2011-12-01	41.2033216	-77.1945247	Swine	Livestock	Swine	B1	5236	NA	0	Yes	2011	0	0	0	0
255	SAMN05439505	2011-12-01	41.2033216	-77.1945247	Swine	Livestock	Swine	B1	278	ST278 Cplx	1	Yes	2011	1	35	98.859	100
256	SAMN05439506	2011-12-01	41.2033216	-77.1945247	Swine	Livestock	Swine	B1	101	ST101 Cplx	3	Yes	2011	5	39	98.406	100
257	SAMN05439510	2011-08-01	41.2033216	-77.1945247	Poultry	Poultry	Duck	B1	2248	NA	1	No	2011	2	10	58.101	92.644
258	SAMN05439511	2011-08-01	41.2033216	-77.1945247	Poultry	Poultry	Duck	B1	2248	NA	0	No	2011	2	9	57.732	93.656
259	SAMN05439515	2011-07-01	41.2033216	-77.1945247	Poultry	Poultry	Chicken	F	117	NA	1	No	2011	0	0	0	0
260	SAMN05439517	2011-07-01	41.2033216	-77.1945247	Bovine	Livestock	Bovine	D	349	ST349 Cplx	1	Yes	2011	1	34	99.0295	100
261	SAMN05439518	2011-05-01	41.2033216	-77.1945247	Poultry	Poultry	Chicken	B1	58	ST155 Cplx	3	Yes	2011	2	34	98.936	100
262	SAMN05439481	2011-04-01	41.2033216	-77.1945247	Poultry	Poultry	Duck	B2	1946	ST568 Cplx	0	No	2011	1	33	95.322	100
263	SAMN05439482	2011-04-01	41.2033216	-77.1945247	Swine	Livestock	Swine	A	6534	NA	3	Yes	2011	4	35	98.79	100
264	SAMN05439496	2010-08-01	41.2033216	-77.1945247	Poultry	Poultry	Duck	B1	6531	NA	3	No	2010	3	44	98.299	100
265	SAMN05226141	2012-09-01	41.2033216	-77.1945247	Poultry	Poultry	Duck	B1	2308	NA	0	No	2012	0	0	0	0
266	SAMN05440259	2012-09-01	41.2033216	-77.1945247	Poultry	Poultry	Duck	E	130	ST31 Cplx	1	No	2012	3	12	57.7695	94.359
267	SAMN05440263	2012-08-01	41.2033216	-77.1945247	Poultry	Poultry	Duck	B1	6539	NA	3	No	2012	1	9	57.732	93.656
268	SAMN05440266	2012-08-01	41.2033216	-77.1945247	Poultry	Poultry	Duck	B2	681	NA	1	No	2012	1	33	98.235	100
269	SAMN05440269	2012-08-01	41.2033216	-77.1945247	Poultry	Poultry	Duck	B1	162	ST469 Cplx	0	No	2012	0	0	0	0
270	SAMN05440271	2012-08-01	41.2033216	-77.1945247	Poultry	Poultry	Duck	F	657	NA	0	No	2012	0	0	0	0
271	SAMN05439567	2012-05-01	41.2033216	-77.1945247	Bovine	Food	Bovine	A	10	ST10 Cplx	3	No	2012	1	25	98.077	100
272	SAMN05439568	2012-05-01	41.2033216	-77.1945247	Bovine	Food	Bovine	B1	718	ST446 Cplx	2	No	2012	1	34	91.6225	100
273	SAMN05440280	2013-07-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	0	No	2013	0	0	0	0
274	SAMN05440249	2013-07-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	A	48	ST10 Cplx	4	No	2013	0	0	0	0
275	SAMN05440254	2013-07-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	A	939	NA	3	Yes	2013	0	0	0	0
276	SAMN05440256	2013-07-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	B1	1817	NA	0	No	2013	0	0	0	0
277	SAMN05440258	2013-07-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	B1	1817	NA	2	No	2013	3	14	96.0975	100
278	SAMN05452846	2013-07-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	2	No	2013	0	0	0	0
279	SAMN05464541	2011-04-01	41.2033216	-77.1945247	Swine	Livestock	Swine	A	746	ST10 Cplx	1	Yes	2011	0	0	0	0
280	SAMN05596653	2014-03-01	32.3182314	-86.902298	Swine	Livestock	Swine	B1	56	ST155 Cplx	2	Yes	2014	2	38	99.3775	100
281	SAMN05596356	2014-11-01	35.7595731	-79.0192997	Bovine	Livestock	Bovine	B1	2328	NA	0	No	2014	0	0	0	0
282	SAMN05596240	2014-11-01	37.8393332	-84.2700179	Swine	Livestock	Swine	B1	58	ST155 Cplx	4	Yes	2014	1	35	98.98	100
283	SAMN05655883	2016-02-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	A	398	ST398 Cplx	1	Yes	2016	0	0	0	0
284	SAMN05655961	2016-02-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	D	362	NA	3	Yes	2016	0	0	0	0
285	SAMN05655980	2015-11-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	F	117	NA	1	Yes	2015	3	36	98.8825	100
286	SAMN05596491	2014-12-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	164	NA	2	No	2014	1	35	98.558	100
287	SAMN05596392	2014-12-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	278	ST278 Cplx	2	Yes	2014	1	35	98.859	100
288	SAMN05757714	2016-02-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	224	NA	4	Yes	2016	1	32	99.551	100
289	SAMN05757745	2016-02-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	224	NA	3	Yes	2016	2	32	99.551	100
290	SAMN05757741	2016-02-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	A	189	ST165 Cplx	5	Yes	2016	0	0	0	0
291	SAMN05757740	2016-02-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	A	189	ST165 Cplx	5	Yes	2016	0	0	0	0
292	SAMN05757738	2016-02-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	A	189	ST165 Cplx	5	Yes	2016	0	0	0	0
293	SAMN05757735	2016-02-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	A	189	ST165 Cplx	5	Yes	2016	0	0	0	0
294	SAMN05596725	2014-02-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	55	ST155 Cplx	1	No	2014	2	35	98.253	100
295	SAMN05789722	2016-02-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	212	NA	4	Yes	2016	0	0	0	0
296	SAMN05789719	2016-02-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	F	117	NA	1	Yes	2016	3	36	98.8825	100
297	SAMN05789714	2016-02-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	A	398	ST398 Cplx	1	Yes	2016	0	0	0	0
298	SAMN05596204	2014-10-01	40.6331249	-89.3985283	Bovine	Livestock	Bovine	B1	201	ST469 Cplx	1	No	2014	0	0	0	0
299	SAMN05596205	2014-11-01	35.20105	-91.8318334	Poultry	Poultry	Chicken	B1	155	ST155 Cplx	2	Yes	2014	1	32	99.306	100
300	SAMN05596210	2014-09-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	B1	6691	NA	3	No	2014	1	35	98.936	100
301	SAMN05596161	2014-09-01	40.6331249	-89.3985283	Bovine	Livestock	Bovine	B1	5266	ST20 Cplx	4	Yes	2014	11	48	98.8825	100
302	SAMN05596165	2014-09-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	A	10	ST10 Cplx	2	No	2014	1	35	98.859	100
303	SAMN05596101	2014-08-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	A	10	ST10 Cplx	5	Yes	2014	1	34	98.73	100
304	SAMN05595979	2014-08-01	43.7844397	-88.7878678	Bovine	Livestock	Bovine	B1	1727	ST446 Cplx	0	No	2014	0	0	0	0
305	SAMN05829269	2015-01-01	41.8780025	-93.097702	Bovine	Livestock	Bovine	B1	5082	NA	5	Yes	2015	1	33	98.576	100
306	SAMN05859962	2016-06-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	29	ST29 Cplx	3	Yes	2016	1	2	99.077	97.5805
307	SAMN05859958	2016-06-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	29	ST29 Cplx	4	Yes	2016	1	2	99.077	97.5805
308	SAMN05859956	2016-06-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	29	ST29 Cplx	3	Yes	2016	1	2	99.077	97.5805
309	SAMN05859955	2016-06-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	29	ST29 Cplx	3	Yes	2016	1	2	99.077	97.5805
310	SAMN05859954	2016-06-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	29	ST29 Cplx	5	Yes	2016	2	24	96.867	100
311	SAMN06005825	2012-05-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	0	No	2012	0	0	0	0
312	SAMN06005823	2012-05-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	0	No	2012	1	32	92.4725	100
313	SAMN06005817	2012-05-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	33	92.437	100
314	SAMN06005821	2012-05-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	2	94.607	99.8765
315	SAMN06005810	2012-05-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	2	94.607	99.8765
316	SAMN06005893	2012-05-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	0	No	2012	4	14	91.912	100
317	SAMN06005888	2012-05-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	0	No	2012	2	33	92.437	100
318	SAMN06005883	2012-05-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	0	No	2012	1	33	92.437	100
319	SAMN06005880	2012-05-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	0	No	2012	0	0	0	0
320	SAMN06005875	2012-05-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	0	No	2012	0	0	0	0
321	SAMN06005871	2012-05-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	0	0	0	0
322	SAMN06005869	2012-12-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	0	No	2012	0	0	0	0
323	SAMN06005854	2012-12-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	0	No	2012	0	0	0	0
324	SAMN06005850	2012-12-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	2	94.607	99.8765
325	SAMN06005855	2012-12-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	2	94.607	99.8765
326	SAMN06005853	2012-12-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	2	94.607	99.8765
327	SAMN06005845	2012-12-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	0	0	0	0
328	SAMN06005841	2012-12-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	2	94.607	99.8765
329	SAMN06005835	2013-02-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2013	0	0	0	0
330	SAMN06005836	2013-02-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	2	No	2013	0	0	0	0
331	SAMN06005834	2013-02-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	2	No	2013	1	2	94.607	99.8765
332	SAMN06005833	2013-02-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	2	No	2013	1	2	94.607	99.8765
333	SAMN06005831	2013-02-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2013	1	2	94.607	99.8765
334	SAMN03462119	2011-12-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	3	No	2011	1	2	94.607	99.8765
335	SAMN06126433	2016-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	A	48	ST10 Cplx	11	Yes	2016	8	43	99.029	100
336	SAMN06126430	2016-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	A	10	ST10 Cplx	4	Yes	2016	4	13	99.125	98.805
337	SAMN05596176	2014-09-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	1704	ST446 Cplx	5	Yes	2014	28	69	98.058	100
338	SAMN05595849	2014-04-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	B1	388	NA	1	Yes	2014	1	1	52.778	49.315
339	SAMN05596564	2014-02-01	37.9642529	-91.8318334	Bovine	Livestock	Bovine	E	3381	NA	1	No	2014	1	36	98.838	100
340	SAMN06159505	2013-07-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	2	Yes	2013	0	0	0	0
341	SAMN06159503	2013-08-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	1	No	2013	0	0	0	0
342	SAMN06220122	2014-07-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	3	No	2014	2	24	92.6345	100
343	SAMN06220117	2014-07-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	2	No	2014	1	2	78.546	69.639
344	SAMN06220119	2014-07-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	1	No	2014	1	22	91.1505	100
345	SAMN06220124	2014-07-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	1	No	2014	1	2	78.546	69.639
346	SAMN06220116	2014-07-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	0	No	2014	0	0	0	0
347	SAMN06220112	2014-07-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	1	No	2014	3	4	59.8645	41.892
348	SAMN06220111	2014-07-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	3	No	2014	0	0	0	0
349	SAMN06220109	2014-08-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	1	No	2014	1	7	98.104	100
350	SAMN06220106	2013-06-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	1	No	2013	2	8	98.141	100
351	SAMN06220113	2014-07-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	7211	ST20 Cplx	0	No	2014	0	0	0	0
352	SAMN06220104	2013-06-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	4	No	2013	0	0	0	0
353	SAMN06220079	2013-06-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	1967	ST20 Cplx	5	Yes	2013	2	33	97.727	100
354	SAMN06220077	2013-06-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	2	No	2013	1	8	98.1695	100
355	SAMN06220092	2013-06-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	2	No	2013	1	8	98.1695	100
356	SAMN06220135	2014-06-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	2307	NA	4	Yes	2014	2	36	98.32	100
357	SAMN06220084	2014-06-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	2307	NA	3	Yes	2014	2	36	98.32	100
358	SAMN06220134	2014-06-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	2307	NA	4	Yes	2014	2	36	98.32	100
359	SAMN06220087	2013-08-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	1967	ST20 Cplx	2	No	2013	0	0	0	0
360	SAMN06220133	2014-06-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	2307	NA	3	Yes	2014	2	36	98.32	100
361	SAMN06220085	2013-08-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	1967	ST20 Cplx	3	No	2013	0	0	0	0
362	SAMN06220131	2014-06-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	2307	NA	4	Yes	2014	2	36	98.32	100
363	SAMN03462125	2011-12-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	2	No	2011	0	0	0	0
364	SAMN03462126	2011-12-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	3	No	2011	1	2	94.607	99.8765
365	SAMN05275927	2016-02-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	B1	306	NA	1	No	2016	0	0	0	0
366	SAMN04510412	2016-02-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	2	No	2016	1	2	94.607	99.8765
367	SAMN05597016	2014-05-01	33.836081	-81.1637245	Swine	Livestock	Swine	B1	58	ST155 Cplx	5	Yes	2014	1	35	98.864	100
368	SAMN05605381	2012-01-01	44.3148443	-85.6023643	Bovine	Livestock	Bovine	B1	333	NA	3	No	2012	1	4	96.509	95.1495
369	SAMN05596234	2014-11-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	109	NA	3	Yes	2014	0	0	0	0
370	SAMN05596717	2014-02-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	3	Yes	2014	1	35	98.63	100
371	SAMN05596471	2014-12-01	35.7595731	-79.0192997	Poultry	Poultry	Turkey	B1	58	ST155 Cplx	6	Yes	2014	1	35	99.038	100
372	SAMN06555242	2011-02-01	41.2033216	-77.1945247	Bovine	Livestock	Bovine	B1	6239	NA	0	No	2011	0	0	0	0
373	SAMN05326683	2015-04-01	41.2033216	-77.1945247	Bovine	Food	Bovine	E	11	ST11 Cplx	1	No	2015	1	2	94.607	99.8765
374	SAMN05326676	2015-04-01	41.2033216	-77.1945247	Bovine	Food	Bovine	E	11	ST11 Cplx	1	No	2015	1	2	94.607	99.8765
375	SAMN05326700	2015-06-01	41.2033216	-77.1945247	Swine	Food	Swine	B1	794	NA	5	Yes	2015	2	8	98.0075	98.5765
376	SAMN05326698	2015-06-01	41.2033216	-77.1945247	Swine	Food	Swine	A	793	ST206 Cplx	2	Yes	2015	3	9	99.248	100
377	SAMN05326699	2015-06-01	41.2033216	-77.1945247	Swine	Food	Swine	A	793	ST206 Cplx	2	Yes	2015	3	12	99.3365	100
378	SAMN05326703	2015-06-01	41.2033216	-77.1945247	Swine	Food	Swine	A	793	ST206 Cplx	2	Yes	2015	9	42	98.998	100
