new_protein_ids	accession_id	protein_id	gene	seq_len	protein_des	ReplacedBy	Organism_old	Title_old	SubType	SubName	Organism_new	Title_new	Status	gene_name	Plasmid	GenBank.Number	Host	Protein	query_protein_len
WP_001576661.1	NC_007208	YP_271778.1	trbc	639	conjugal transfer pilus assembly protein TrbC	WP_001576661.1	Salmonella enterica	conjugal transfer pilus assembly protein TrbC (plasmid) [Salmonella enterica]	plasmid|note|strain|serovar	pOU1113|SD-Fasta; virulence plasmid|OU7025|Dublin	Salmonella enterica	type-F conjugative transfer system pilin assembly protein TrbC [Salmonella enterica]	NA	trbc	pOU1113	NC_007208	Salmonella enterica	TrbC	212
WP_001746544.1	NC_007208	YP_271776.1	trbe	216	conjugal transfer protein TrbE	WP_001746544.1	Salmonella enterica	conjugal transfer protein TrbE (plasmid) [Salmonella enterica]	plasmid|note|strain|serovar	pOU1113|SD-Fasta; virulence plasmid|OU7025|Dublin	Salmonella enterica	conjugal transfer protein TrbE [Salmonella enterica]	NA	trbe	pOU1113	NC_007208	Salmonella enterica	TrbE	71
WP_011282402.1	NC_007208	YP_271782.1	trbi	378	hypothetical protein	WP_011282402.1	Salmonella enterica	hypothetical protein pOU1113_58 (plasmid) [Salmonella enterica]	plasmid|note|strain|serovar	pOU1113|SD-Fasta; virulence plasmid|OU7025|Dublin	Salmonella enterica	type-F conjugative transfer system protein TrbI [Salmonella enterica]	suppressed	trbi	pOU1113	NC_007208	Salmonella enterica	TrbI	125
WP_000139365.1	NC_007607	YP_406126.1	fino	561	conjugal transfer fertility inhibition protein FinO	WP_000139365.1	Shigella dysenteriae Sd197	conjugal transfer fertility inhibition protein FinO (plasmid) [Shigella dysenteriae Sd197]	plasmid|strain|serotype	pSD1_197|Sd197|1	Shigella dysenteriae	fertility inhibition protein FinO [Shigella dysenteriae]	NA	fino	pSD1_197	NC_007607	Shigella dysenteriae	FinO	186
WP_005015498.1	NC_007607	YP_406118.1	trad	1515	hypothetical protein	WP_005015498.1	Shigella dysenteriae Sd197	hypothetical protein SDY_P117 (plasmid) [Shigella dysenteriae Sd197]	plasmid|strain|serotype	pSD1_197|Sd197|1	Shigella dysenteriae	type IV conjugative transfer system coupling protein TraD [Shigella dysenteriae]	suppressed	trad	NA	NA	NA	NA	504
WP_000205723.1	NC_007607	YP_406125.1	trax	747	conjugal transfer pilus acetylation protein TraX	WP_000205723.1	Shigella dysenteriae Sd197	conjugal transfer pilus acetylation protein TraX (plasmid) [Shigella dysenteriae Sd197]	plasmid|strain|serotype	pSD1_197|Sd197|1	Shigella dysenteriae	conjugal transfer pilus acetylase TraX [Shigella dysenteriae]	NA	trax	pSD1_197	NC_007607	Shigella dysenteriae	TraX	248
WP_011402775.1	NC_007675	YP_443973.1	trac	2631	conjugal transfer ATP	WP_011402775.1	Escherichia coli	conjugal transfer ATP-binding protein TraC (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	type IV secretion system protein TraC [Escherichia coli]	NA	trac	pAPEC-O2-ColV	NC_007675	Escherichia coli	TraC	876
WP_011402783.1	NC_007675	YP_443957.1	trad	2199	conjugal transfer protein TraD	WP_011402783.1	Escherichia coli	conjugal transfer protein TraD (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Enterobacteriaceae	MULTISPECIES: type IV conjugative transfer system coupling protein TraD [Enterobacteriaceae]	NA	trad	pAPEC-O2-ColV	NC_007675	Escherichia coli	TraD	732
WP_011402770.1	NC_007675	YP_443981.1	trae	567	conjugal transfer pilus assembly protein TraE	WP_011402770.1	Escherichia coli	conjugal transfer pilus assembly protein TraE (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	type IV conjugative transfer system protein TraE [Escherichia coli]	NA	trae	pAPEC-O2-ColV	NC_007675	Escherichia coli	TraE	188
WP_011402784.1	NC_007675	YP_443956.1	trai	5271	conjugal transfer nickase	WP_011402784.1	Escherichia coli	conjugal transfer nickase/helicase TraI (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	conjugative transfer relaxase/helicase TraI [Escherichia coli]	NA	trai	NA	NA	NA	NA	1756
WP_011402768.1	NC_007675	YP_443985.1	traj	684	hypothetical protein	WP_011402768.1	Escherichia coli	hypothetical protein O2ColV139 (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	PAS domain-containing protein [Escherichia coli]	suppressed	traj	pAPEC-O2-ColV	NC_007675	Escherichia coli	TraJ	227
WP_011402778.1	NC_007675	YP_443968.1	tran	1809	conjugal transfer mating pair stabilization protein TraN	WP_011402778.1	Escherichia coli	conjugal transfer mating pair stabilization protein TraN (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	type-F conjugative transfer system mating-pair stabilization protein TraN [Escherichia coli]	NA	tran	pAPEC-O2-ColV	NC_007675	Escherichia coli	TraN	602
WP_011402771.1	NC_007675	YP_443979.1	trap	573	conjugal transfer protein TraP	WP_011402771.1	Escherichia coli	conjugal transfer protein TraP (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	conjugal transfer pilus-stabilizing protein TraP [Escherichia coli]	NA	trap	pAPEC-O2-ColV	NC_007675	Escherichia coli	TraP	190
WP_011402780.1	NC_007675	YP_443964.1	traq	285	conjugal transfer pilin chaperone TraQ	WP_011402780.1	Escherichia coli	conjugal transfer pilin chaperone TraQ (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	type-F conjugative transfer system pilin chaperone TraQ [Escherichia coli]	NA	traq	pAPEC-O2-ColV	NC_007675	Escherichia coli	TraQ	94
WP_011402773.1	NC_007675	YP_443976.1	trar	222	conjugal transfer protein TraR	WP_011402773.1	Escherichia coli	conjugal transfer protein TraR (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Enterobacteriaceae	MULTISPECIES: conjugal transfer protein TraR [Enterobacteriaceae]	NA	trar	pAPEC-O2-ColV	NC_007675	Escherichia coli	TraR	73
WP_011402782.1	NC_007675	YP_443958.1	trat	831	conjugal transfer surface exclusion protein TraT	WP_011402782.1	Escherichia coli	conjugal transfer surface exclusion protein TraT (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	conjugal transfer complement resistance protein TraT [Escherichia coli]	suppressed	trat	pAPEC-O2-ColV	NC_007675	Escherichia coli	TraT	276
WP_011402777.1	NC_007675	YP_443970.1	trau	969	conjugal transfer pilus assembly protein TraU	WP_011402777.1	Escherichia coli	conjugal transfer pilus assembly protein TraU (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	conjugal transfer pilus assembly protein TraU [Escherichia coli]	NA	trau	pAPEC-O2-ColV	NC_007675	Escherichia coli	TraU	322
WP_011402772.1	NC_007675	YP_443977.1	trav	516	conjugal transfer protein TraV	WP_011402772.1	Escherichia coli	conjugal transfer protein TraV (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	type IV conjugative transfer system lipoprotein TraV [Escherichia coli]	NA	trav	pAPEC-O2-ColV	NC_007675	Escherichia coli	TraV	171
WP_011402776.1	NC_007675	YP_443971.2	traw	654	conjugal transfer pilus assembly protein TraW	WP_011402776.1	Salmonella enterica subsp. enterica serovar Typhimurium	conjugal transfer pilus assembly protein TraW (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	type-F conjugative transfer system protein TraW [Escherichia coli]	NA	traw	pAPEC-O2-ColV	NC_007675	Escherichia coli	TraW	217
WP_011402769.1	NC_007675	YP_443984.1	tray	321	conjugal transfer protein TraY	WP_011402769.1	Escherichia coli	hypothetical protein O2ColV138 (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	conjugal transfer relaxosome protein TraY [Escherichia coli]	suppressed	tray	pAPEC-O2-ColV	NC_007675	Escherichia coli	TraY	106
WP_011402781.1	NC_007675	YP_443963.1	trbb	498	conjugal transfer protein TrbB	WP_011402781.1	Escherichia coli	conjugal transfer protein TrbB (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB [Escherichia coli]	suppressed	trbb	pAPEC-O2-ColV	NC_007675	Escherichia coli	TrbB	165
WP_001326818.1	NC_007675	YP_443969.1	trbc	642	conjugal transfer pilus assembly protein TrbC	WP_001326818.1	Escherichia coli	conjugal transfer pilus assembly protein TrbC (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	type-F conjugative transfer system pilin assembly protein TrbC [Escherichia coli]	suppressed	trbc	pAPEC-O2-ColV	NC_007675	Escherichia coli	TrbC	213
WP_011402779.1	NC_007675	YP_443967.1	trbe	261	conjugal transfer protein TrbE	WP_011402779.1	Escherichia coli	conjugal transfer protein TrbE (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Escherichia coli	conjugal transfer protein TrbE [Escherichia coli]	suppressed	trbe	pAPEC-O2-ColV	NC_007675	Escherichia coli	TrbE	86
WP_011251381.1	NC_007675	YP_443962.1	trbj	363	conjugal transfer protein TrbJ	WP_011251381.1	Escherichia coli	conjugal transfer protein TrbJ (plasmid) [Escherichia coli]	clone|plasmid|note|strain	Contig 42|pAPEC-O2-ColV|avian pathogenic strain|A2363	Enterobacteriaceae	MULTISPECIES: P-type conjugative transfer protein TrbJ [Enterobacteriaceae]	NA	trbj	pAPEC-O2-ColV	NC_007675	Escherichia coli	TrbJ	120
WP_011666502.1	NC_008460	YP_788093.1	fino	561	conjugal transfer fertility inhibition protein FinO	WP_011666502.1	Escherichia coli	conjugal transfer fertility inhibition protein FinO (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	fertility inhibition protein FinO [Escherichia coli]	NA	fino	pO86A1	NC_008460	Escherichia coli	FinO	186
WP_011666478.1	NC_008460	YP_788062.1	traa	360	conjugal transfer pilin subunit TraA	WP_011666478.1	Escherichia coli	conjugal transfer pilin subunit TraA (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	type IV conjugative transfer system pilin TraA [Escherichia coli]	NA	traa	pO86A1	NC_008460	Escherichia coli	TraA	119
WP_011666480.1	NC_008460	YP_788066.1	trab	1452	conjugal transfer pilus assembly protein TraB	WP_011666480.1	Escherichia coli	conjugal transfer pilus assembly protein TraB (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	F-type conjugal transfer pilus assembly protein TraB [Escherichia coli]	NA	trab	pO86A1	NC_008460	Escherichia coli	TraB	483
WP_011666484.1	NC_008460	YP_788071.1	trac	2628	conjugal transfer ATP	WP_011666484.1	Escherichia coli	conjugal transfer ATP-binding protein TraC (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	type IV secretion system protein TraC [Escherichia coli]	NA	trac	pO86A1	NC_008460	Escherichia coli	TraC	875
WP_011666500.1	NC_008460	YP_788090.1	trad	2199	conjugal transfer protein TraD	WP_011666500.1	Escherichia coli	conjugal transfer protein TraD (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	type IV conjugative transfer system coupling protein TraD [Escherichia coli]	NA	trad	pO86A1	NC_008460	Escherichia coli	TraD	732
WP_000399805.1	NC_008460	YP_788064.1	trae	567	conjugal transfer pilus assembly protein TraE	WP_000399805.1	Escherichia coli	conjugal transfer pilus assembly protein TraE (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Enterobacteriaceae	MULTISPECIES: type IV conjugative transfer system protein TraE [Enterobacteriaceae]	NA	trae	pO86A1	NC_008460	Escherichia coli	TraE	188
WP_011666490.1	NC_008460	YP_788079.1	traf	744	conjugal pilus assembly protein TraF	WP_011666490.1	Escherichia coli	conjugal pilus assembly protein TraF (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	type-F conjugative transfer system pilin assembly protein TraF [Escherichia coli]	NA	traf	pO86A1	NC_008460	Escherichia coli	TraF	247
WP_011666497.1	NC_008460	YP_788086.1	trag	2823	conjugal transfer mating pair stabilization protein TraG	WP_011666497.1	Escherichia coli	conjugal transfer mating pair stabilization protein TraG (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	conjugal transfer mating-pair stabilization protein TraG [Escherichia coli]	NA	trag	pO86A1	NC_008460	Escherichia coli	TraG	940
WP_011666496.1	NC_008460	YP_788085.1	trah	1377	conjugal transfer pilus assembly protein TraH	WP_011666496.1	Escherichia coli	conjugal transfer pilus assembly protein TraH (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	conjugal transfer pilus assembly protein TraH [Escherichia coli]	suppressed	trah	pO86A1	NC_008460	Escherichia coli	TraH	458
WP_011666501.1	NC_008460	YP_788091.1	trai	5271	conjugal transfer nickase	WP_011666501.1	Escherichia coli	conjugal transfer nickase/helicase TraI (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	conjugative transfer relaxase/helicase TraI [Escherichia coli]	NA	trai	NA	NA	NA	NA	1756
WP_011666477.1	NC_008460	YP_788060.1	traj	672	conjugal transfer transcriptional regulator TraJ	WP_011666477.1	Escherichia coli	conjugal transfer transcriptional regulator TraJ (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	conjugal transfer transcriptional regulator TraJ [Escherichia coli]	NA	traj	pO86A1	NC_008460	Escherichia coli	TraJ	223
WP_011666479.1	NC_008460	YP_788065.1	trak	729	conjugal transfer protein TraK	WP_011666479.1	Escherichia coli	conjugal transfer protein TraK (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	type-F conjugative transfer system secretin TraK [Escherichia coli]	NA	trak	pO86A1	NC_008460	Escherichia coli	TraK	242
WP_011666488.1	NC_008460	YP_788077.1	tran	1851	conjugal transfer mating pair stabilization protein TraN	WP_011666488.1	Escherichia coli	conjugal transfer mating pair stabilization protein TraN (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	type-F conjugative transfer system mating-pair stabilization protein TraN [Escherichia coli]	NA	tran	pO86A1	NC_008460	Escherichia coli	TraN	616
WP_011666481.1	NC_008460	YP_788067.1	trap	567	conjugal transfer protein TraP	WP_011666481.1	Escherichia coli	conjugal transfer protein TraP (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	conjugal transfer pilus-stabilizing protein TraP [Escherichia coli]	NA	trap	pO86A1	NC_008460	Escherichia coli	TraP	188
WP_011666492.1	NC_008460	YP_788081.1	traq	285	conjugal transfer pilin chaperone TraQ	WP_011666492.1	Escherichia coli	conjugal transfer pilin chaperone TraQ (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	type-F conjugative transfer system pilin chaperone TraQ [Escherichia coli]	NA	traq	pO86A1	NC_008460	Escherichia coli	TraQ	94
WP_011666483.1	NC_008460	YP_788070.1	trar	222	conjugal transfer protein TraR	WP_011666483.1	Escherichia coli	conjugal transfer protein TraR (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	conjugal transfer protein TraR [Escherichia coli]	NA	trar	pO86A1	NC_008460	Escherichia coli	TraR	73
WP_001403424.1	NC_008460	YP_788088.1	trat	732	conjugal transfer surface exclusion protein TraT	WP_001403424.1	Escherichia coli	conjugal transfer surface exclusion protein TraT (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Enterobacteriaceae	MULTISPECIES: conjugal transfer complement resistance protein TraT [Enterobacteriaceae]	NA	trat	pO86A1	NC_008460	Escherichia coli	TraT	243
WP_000830839.1	NC_008460	YP_788074.1	trau	993	conjugal transfer pilus assembly protein TraU	WP_000830839.1	Escherichia coli	conjugal transfer pilus assembly protein TraU (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Gammaproteobacteria	MULTISPECIES: conjugal transfer pilus assembly protein TraU [Gammaproteobacteria]	NA	trau	pO86A1	NC_008460	Escherichia coli	TraU	330
WP_011666482.1	NC_008460	YP_788069.1	trav	516	conjugal transfer protein TraV	WP_011666482.1	Escherichia coli	conjugal transfer protein TraV (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	type IV conjugative transfer system lipoprotein TraV [Escherichia coli]	NA	trav	pO86A1	NC_008460	Escherichia coli	TraV	171
WP_011666485.1	NC_008460	YP_788073.1	traw	633	conjugal transfer pilus assembly protein TraW	WP_011666485.1	Escherichia coli	conjugal transfer pilus assembly protein TraW (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	type-F conjugative transfer system protein TraW [Escherichia coli]	NA	traw	pO86A1	NC_008460	Escherichia coli	TraW	210
WP_000205718.1	NC_008460	YP_788092.1	trax	747	conjugal transfer pilus acetylation protein TraX	WP_000205718.1	Escherichia coli	conjugal transfer pilus acetylation protein TraX (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Enterobacteriaceae	MULTISPECIES: conjugal transfer pilus acetylase TraX [Enterobacteriaceae]	NA	trax	pO86A1	NC_008460	Escherichia coli	TraX	248
WP_011666491.1	NC_008460	YP_788080.1	trba	348	conjugal transfer protein TrbA	WP_011666491.1	Escherichia coli	conjugal transfer protein TrbA (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	conjugal transfer protein TrbA [Escherichia coli]	NA	trba	pO86A1	NC_008460	Escherichia coli	TrbA	115
WP_011666493.1	NC_008460	YP_788082.1	trbb	546	conjugal transfer protein TrbB	WP_011666493.1	Escherichia coli	conjugal transfer protein TrbB (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB [Escherichia coli]	NA	trbb	pO86A1	NC_008460	Escherichia coli	TrbB	181
WP_011666487.1	NC_008460	YP_788076.1	trbc	639	conjugal transfer pilus assembly protein TrbC	WP_011666487.1	Escherichia coli	conjugal transfer pilus assembly protein TrbC (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	type-F conjugative transfer system pilin assembly protein TrbC [Escherichia coli]	NA	trbc	pO86A1	NC_008460	Escherichia coli	TrbC	212
WP_001057281.1	NC_008460	YP_788068.1	trbd	318	conjugal transfer protein TrbD	WP_001057281.1	Escherichia coli	conjugal transfer protein TrbD (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	conjugal transfer protein TrbD [Escherichia coli]	NA	trbd	pO86A1	NC_008460	Escherichia coli	TrbD	105
WP_011666489.1	NC_008460	YP_788078.1	trbe	261	conjugal transfer protein TrbE	WP_011666489.1	Escherichia coli	conjugal transfer protein TrbE (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	conjugal transfer protein TrbE [Escherichia coli]	suppressed	trbe	pO86A1	NC_008460	Escherichia coli	TrbE	86
WP_011666495.1	NC_008460	YP_788084.1	trbf	426	conjugal transfer protein TrbF	WP_011666495.1	Escherichia coli	conjugal transfer protein TrbF (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Escherichia coli	F-type conjugal transfer protein TrbF [Escherichia coli]	suppressed	trbf	pO86A1	NC_008460	Escherichia coli	TrbF	141
WP_011666494.1	NC_008460	YP_788083.1	trbj	348	conjugal transfer protein TrbJ	WP_011666494.1	Escherichia coli	conjugal transfer protein TrbJ (plasmid) [Escherichia coli]	plasmid|country|note|strain|serotype	pO86A1|Japan|pO86A1 is a Tn5-inserted derivative of adherence plasmid pO86A in strain DIJ1.|DIJ1|O86:H-	Enterobacteriaceae	MULTISPECIES: P-type conjugative transfer protein TrbJ [Enterobacteriaceae]	NA	trbj	pO86A1	NC_008460	Escherichia coli	TrbJ	115
WP_000139383.1	NC_009602	YP_001294665.1	fino	561	conjugal transfer fertility inhibition protein FinO	WP_000139383.1	Escherichia coli	conjugal transfer fertility inhibition protein FinO (plasmid) [Escherichia coli]	plasmid|note|strain|serotype	pSFO157|enterohemorrhagic; EHEC; sorbitol-fermenting|3072/96|O157:H-	Escherichia coli	fertility inhibition protein FinO [Escherichia coli]	NA	fino	pSFO157	NC_009602	Escherichia coli	FinO	186
WP_000340281.1	NC_009602	YP_001294735.1	traa	399	conjugal transfer pilin subunit TraA	WP_000340281.1	Escherichia coli	conjugal transfer pilin subunit TraA (plasmid) [Escherichia coli]	plasmid|note|strain|serotype	pSFO157|enterohemorrhagic; EHEC; sorbitol-fermenting|3072/96|O157:H-	Enterobacteriaceae	MULTISPECIES: type IV conjugative transfer system pilin TraA [Enterobacteriaceae]	NA	traa	pSFO157	NC_009602	Escherichia coli	TraA	132
WP_011962176.1	NC_009602	YP_001294757.1	trad	2208	conjugal transfer protein TraD	WP_011962176.1	Escherichia coli	conjugal transfer protein TraD (plasmid) [Escherichia coli]	plasmid|note|strain|serotype	pSFO157|enterohemorrhagic; EHEC; sorbitol-fermenting|3072/96|O157:H-	Escherichia coli	type IV conjugative transfer system coupling protein TraD [Escherichia coli]	NA	trad	pSFO157	NC_009602	Escherichia coli	TraD	735
WP_000399795.1	NC_009602	YP_001294737.1	trae	567	conjugal transfer pilus assembly protein TraE	WP_000399795.1	Escherichia coli	conjugal transfer pilus assembly protein TraE (plasmid) [Escherichia coli]	plasmid|note|strain|serotype	pSFO157|enterohemorrhagic; EHEC; sorbitol-fermenting|3072/96|O157:H-	Escherichia coli	type IV conjugative transfer system protein TraE [Escherichia coli]	NA	trae	pSFO157	NC_009602	Escherichia coli	TraE	188
WP_011962179.1	NC_009602	YP_001294749.1	traf	774	conjugal pilus assembly protein TraF	WP_011962179.1	Escherichia coli	conjugal pilus assembly protein TraF (plasmid) [Escherichia coli]	plasmid|note|strain|serotype	pSFO157|enterohemorrhagic; EHEC; sorbitol-fermenting|3072/96|O157:H-	Escherichia coli	type-F conjugative transfer system pilin assembly protein TraF [Escherichia coli]	suppressed	traf	pSFO157	NC_009602	Escherichia coli	TraF	257
WP_001006998.1	NC_009602	YP_001294754.1	trag	2823	conjugal transfer mating pair stabilization protein TraG	WP_001006998.1	Escherichia coli	conjugal transfer mating pair stabilization protein TraG (plasmid) [Escherichia coli]	plasmid|note|strain|serotype	pSFO157|enterohemorrhagic; EHEC; sorbitol-fermenting|3072/96|O157:H-	Escherichia coli	conjugal transfer mating-pair stabilization protein TraG [Escherichia coli]	NA	trag	pSFO157	NC_009602	Escherichia coli	TraG	940
WP_000982836.1	NC_009602	YP_001294753.1	trah	1377	conjugal transfer pilus assembly protein TraH	WP_000982836.1	Escherichia coli	conjugal transfer pilus assembly protein TraH (plasmid) [Escherichia coli]	plasmid|note|strain|serotype	pSFO157|enterohemorrhagic; EHEC; sorbitol-fermenting|3072/96|O157:H-	Escherichia coli	conjugal transfer pilus assembly protein TraH [Escherichia coli]	NA	trah	pSFO157	NC_009602	Escherichia coli	TraH	458
WP_000332519.1	NC_009602	YP_001294734.1	traj	648	conjugal transfer transcriptional regulator TraJ	WP_000332519.1	Escherichia coli	conjugal transfer transcriptional regulator TraJ (plasmid) [Escherichia coli]	plasmid|note|strain|serotype	pSFO157|enterohemorrhagic; EHEC; sorbitol-fermenting|3072/96|O157:H-	Escherichia	MULTISPECIES: conjugal transfer transcriptional regulator TraJ [Escherichia]	NA	traj	pSFO157	NC_009602	Escherichia coli	TraJ	215
