genome	n_genes	n_distinct_genes	conj_category	type
SAMN02628686	1	1	relaxase_type	MOBP1
SAMN02628686	1	1	virb4	virb4
SAMN02628686	11	10	MPF_type	MPF_F
SAMN02628686	4	4	MPF_type	MPF_I
SAMN02628687	1	1	virb4	virb4
SAMN02628687	2	1	MPF_type	MPF_F
SAMN02628687	8	6	MPF_type	MPF_T
SAMN02628688	2	1	relaxase_type	MOBF
SAMN02628688	1	1	relaxase_type	MOBP1
SAMN02628688	3	1	virb4	virb4
SAMN02628688	22	11	MPF_type	MPF_F
SAMN02628688	15	15	MPF_type	MPF_I
SAMN02628688	2	2	MPF_type	MPF_T
SAMN02628690	1	1	relaxase_type	MOBF
SAMN02628690	3	1	relaxase_type	MOBP1
SAMN02628690	1	1	virb4	virb4
SAMN02628690	13	10	MPF_type	MPF_F
SAMN02628690	27	15	MPF_type	MPF_I
SAMN02628691	1	1	relaxase_type	MOBF
SAMN02628691	1	1	relaxase_type	MOBP1
SAMN02628691	1	1	relaxase_type	MOBQ
SAMN02628691	1	1	virb4	virb4
SAMN02628691	11	10	MPF_type	MPF_F
SAMN02628691	15	15	MPF_type	MPF_I
SAMN02628695	1	1	relaxase_type	MOBH
SAMN02628695	1	1	virb4	virb4
SAMN02628695	12	9	MPF_type	MPF_F
SAMN02628695	1	1	MPF_type	MPF_I
SAMN02628695	1	1	MPF_type	MPF_T
SAMN02628696	1	1	relaxase_type	MOBF
SAMN02628696	1	1	relaxase_type	MOBP1
SAMN02628696	1	1	virb4	virb4
SAMN02628696	13	10	MPF_type	MPF_F
SAMN02628696	15	15	MPF_type	MPF_I
SAMN02628696	1	1	MPF_type	MPF_T
SAMN02628700	3	1	relaxase_type	MOBF
SAMN02628700	1	1	relaxase_type	MOBP1
SAMN02628700	2	1	virb4	virb4
SAMN02628700	25	11	MPF_type	MPF_F
SAMN02628700	15	15	MPF_type	MPF_I
SAMN02628700	1	1	MPF_type	MPF_T
SAMN02628701	1	1	relaxase_type	MOBP1
SAMN02628701	2	1	MPF_type	MPF_F
SAMN02628701	1	1	MPF_type	MPF_T
SAMN02628702	1	1	relaxase_type	MOBF
SAMN02628702	1	1	relaxase_type	MOBP1
SAMN02628702	2	1	virb4	virb4
SAMN02628702	10	10	MPF_type	MPF_F
SAMN02628702	7	6	MPF_type	MPF_T
SAMN03295421	2	1	relaxase_type	MOBF
SAMN03295421	1	1	virb4	virb4
SAMN03295421	12	10	MPF_type	MPF_F
SAMN03295423	3	1	relaxase_type	MOBP1
SAMN03295423	2	1	virb4	virb4
SAMN03295423	15	15	MPF_type	MPF_I
SAMN03295423	11	7	MPF_type	MPF_T
SAMN03295424	1	1	relaxase_type	MOBF
SAMN03295424	1	1	virb4	virb4
SAMN03295424	10	10	MPF_type	MPF_F
SAMN03295426	3	1	relaxase_type	MOBF
SAMN03295426	2	1	relaxase_type	MOBP1
SAMN03295426	3	1	virb4	virb4
SAMN03295426	26	10	MPF_type	MPF_F
SAMN03295426	15	15	MPF_type	MPF_I
SAMN03295428	1	1	relaxase_type	MOBF
SAMN03295428	2	1	relaxase_type	MOBP1
SAMN03295428	1	1	relaxase_type	MOBQ
SAMN03295428	1	1	virb4	virb4
SAMN03295428	12	10	MPF_type	MPF_F
SAMN03295428	3	3	MPF_type	MPF_T
SAMN03295429	1	1	relaxase_type	MOBF
SAMN03295429	1	1	virb4	virb4
SAMN03295429	10	10	MPF_type	MPF_F
SAMN03295431	1	1	relaxase_type	MOBC
SAMN03295431	1	1	relaxase_type	MOBH
SAMN03295431	1	1	relaxase_type	MOBP1
SAMN03295431	3	1	virb4	virb4
SAMN03295431	12	9	MPF_type	MPF_F
SAMN03295431	13	8	MPF_type	MPF_T
SAMN03295432	1	1	relaxase_type	MOBF
SAMN03295432	2	1	virb4	virb4
SAMN03295432	11	10	MPF_type	MPF_F
SAMN03295432	7	6	MPF_type	MPF_T
SAMN03295433	1	1	relaxase_type	MOBF
SAMN03295433	1	1	relaxase_type	MOBQ
SAMN03295433	1	1	virb4	virb4
SAMN03295433	13	10	MPF_type	MPF_F
SAMN03295433	3	3	MPF_type	MPF_G
SAMN03295437	1	1	relaxase_type	MOBF
SAMN03295437	1	1	relaxase_type	MOBP1
SAMN03295437	1	1	virb4	virb4
SAMN03295437	12	10	MPF_type	MPF_F
SAMN03295437	15	15	MPF_type	MPF_I
SAMN03295439	1	1	relaxase_type	MOBF
SAMN03295439	1	1	relaxase_type	MOBP1
SAMN03295439	1	1	virb4	virb4
SAMN03295439	11	10	MPF_type	MPF_F
SAMN03295439	15	15	MPF_type	MPF_I
SAMN03295442	1	1	relaxase_type	MOBP1
SAMN03295442	1	1	virb4	virb4
SAMN03295442	5	5	MPF_type	MPF_T
SAMN03295444	1	1	relaxase_type	MOBF
SAMN03295444	1	1	relaxase_type	MOBQ
SAMN03295444	1	1	virb4	virb4
SAMN03295444	11	10	MPF_type	MPF_F
SAMN03295445	1	1	relaxase_type	MOBF
SAMN03295445	1	1	virb4	virb4
SAMN03295445	8	8	MPF_type	MPF_F
SAMN03295445	3	2	MPF_type	MPF_T
SAMN03295450	1	1	relaxase_type	MOBF
SAMN03295450	2	1	relaxase_type	MOBP1
SAMN03295450	1	1	virb4	virb4
SAMN03295450	11	10	MPF_type	MPF_F
SAMN03295450	15	15	MPF_type	MPF_I
SAMN03295461	1	1	relaxase_type	MOBH
SAMN03295461	1	1	relaxase_type	MOBP1
SAMN03295461	1	1	virb4	virb4
SAMN03295461	10	8	MPF_type	MPF_F
SAMN03295461	12	12	MPF_type	MPF_I
SAMN03295461	1	1	MPF_type	MPF_T
SAMN03295463	1	1	relaxase_type	MOBF
SAMN03295463	2	1	relaxase_type	MOBP1
SAMN03295463	1	1	relaxase_type	MOBQ
SAMN03295463	1	1	virb4	virb4
SAMN03295463	13	10	MPF_type	MPF_F
SAMN03295463	3	3	MPF_type	MPF_T
SAMN03455846	1	1	relaxase_type	MOBF
SAMN03455846	2	1	relaxase_type	MOBP1
SAMN03455846	8	5	MPF_type	MPF_F
SAMN03455846	16	15	MPF_type	MPF_I
SAMN03455849	1	1	relaxase_type	MOBF
SAMN03455849	1	1	virb4	virb4
SAMN03455849	10	10	MPF_type	MPF_F
SAMN03462119	1	1	relaxase_type	MOBP1
SAMN03462119	2	1	MPF_type	MPF_F
SAMN03462119	15	15	MPF_type	MPF_I
SAMN03462125	2	1	MPF_type	MPF_F
SAMN03462126	2	1	relaxase_type	MOBP1
SAMN03462126	3	1	MPF_type	MPF_F
SAMN03462126	15	15	MPF_type	MPF_I
SAMN03462126	1	1	MPF_type	MPF_T
SAMN03702810	1	1	relaxase_type	MOBF
SAMN03702810	3	1	relaxase_type	MOBP1
SAMN03702810	1	1	virb4	virb4
SAMN03702810	14	11	MPF_type	MPF_F
SAMN03702810	1	1	MPF_type	MPF_T
SAMN04158432	1	1	relaxase_type	MOBF
SAMN04158432	2	1	virb4	virb4
SAMN04158432	13	10	MPF_type	MPF_F
SAMN04158432	7	6	MPF_type	MPF_T
SAMN04160747	1	1	relaxase_type	MOBP1
SAMN04160747	1	1	virb4	virb4
SAMN04160747	7	6	MPF_type	MPF_T
SAMN04160753	1	1	relaxase_type	MOBF
SAMN04160753	1	1	relaxase_type	MOBP1
SAMN04160753	2	1	virb4	virb4
SAMN04160753	13	10	MPF_type	MPF_F
SAMN04160753	7	6	MPF_type	MPF_T
SAMN04160754	1	1	relaxase_type	MOBF
SAMN04160754	1	1	relaxase_type	MOBP1
SAMN04160754	2	1	virb4	virb4
SAMN04160754	13	10	MPF_type	MPF_F
SAMN04160754	7	6	MPF_type	MPF_T
SAMN04160758	1	1	relaxase_type	MOBF
SAMN04160758	1	1	relaxase_type	MOBP1
SAMN04160758	2	1	virb4	virb4
SAMN04160758	13	10	MPF_type	MPF_F
SAMN04160758	7	6	MPF_type	MPF_T
SAMN04160773	1	1	MPF_type	MPF_G
SAMN04191534	1	1	relaxase_type	MOBP1
SAMN04191534	1	1	virb4	virb4
SAMN04191534	7	6	MPF_type	MPF_T
SAMN04191535	1	1	relaxase_type	MOBP1
SAMN04191535	1	1	virb4	virb4
SAMN04191535	7	6	MPF_type	MPF_T
SAMN04191537	4	1	relaxase_type	MOBP1
SAMN04191537	2	1	virb4	virb4
SAMN04191537	15	8	MPF_type	MPF_T
SAMN04191548	2	1	relaxase_type	MOBP1
SAMN04191548	1	1	virb4	virb4
SAMN04191548	11	1	MPF_type	MPF_F
SAMN04191548	4	4	MPF_type	MPF_T
SAMN04191549	2	1	relaxase_type	MOBP1
SAMN04191549	1	1	virb4	virb4
SAMN04191549	2	1	MPF_type	MPF_F
SAMN04191549	5	5	MPF_type	MPF_T
SAMN04191550	2	1	relaxase_type	MOBP1
SAMN04191550	1	1	virb4	virb4
SAMN04191550	10	1	MPF_type	MPF_F
SAMN04191550	5	5	MPF_type	MPF_T
SAMN04191551	1	1	relaxase_type	MOBP1
SAMN04191551	1	1	MPF_type	MPF_T
SAMN04191555	2	1	relaxase_type	MOBP1
SAMN04191555	2	1	MPF_type	MPF_F
SAMN04191555	2	2	MPF_type	MPF_T
SAMN04191556	2	1	relaxase_type	MOBP1
SAMN04191556	2	1	MPF_type	MPF_F
SAMN04191556	1	1	MPF_type	MPF_T
SAMN04191561	3	1	relaxase_type	MOBP1
SAMN04191561	2	1	MPF_type	MPF_F
SAMN04191561	1	1	MPF_type	MPF_T
SAMN04293279	1	1	virb4	virb4
SAMN04293279	17	10	MPF_type	MPF_F
SAMN04293279	2	2	MPF_type	MPF_I
SAMN04293279	1	1	MPF_type	MPF_T
SAMN04293301	1	1	relaxase_type	MOBF
SAMN04293301	1	1	virb4	virb4
SAMN04293301	11	10	MPF_type	MPF_F
SAMN04293311	1	1	MPF_type	MPF_F
SAMN04293317	1	1	MPF_type	MPF_F
SAMN04293322	1	1	relaxase_type	MOBF
SAMN04293322	1	1	relaxase_type	MOBP1
SAMN04293322	1	1	virb4	virb4
SAMN04293322	13	10	MPF_type	MPF_F
SAMN04293322	1	1	MPF_type	MPF_T
SAMN04293336	1	1	MPF_type	MPF_F
SAMN04293337	1	1	relaxase_type	MOBF
SAMN04293337	1	1	virb4	virb4
SAMN04293337	11	10	MPF_type	MPF_F
SAMN04293337	1	1	MPF_type	MPF_T
SAMN04293343	2	1	relaxase_type	MOBF
SAMN04293343	1	1	relaxase_type	MOBH
SAMN04293343	4	1	virb4	virb4
SAMN04293343	21	10	MPF_type	MPF_F
SAMN04293343	24	17	MPF_type	MPF_G
SAMN04293343	1	1	MPF_type	MPF_T
SAMN04293348	1	1	relaxase_type	MOBF
SAMN04293348	1	1	relaxase_type	MOBH
SAMN04293348	2	1	virb4	virb4
SAMN04293348	21	12	MPF_type	MPF_F
SAMN04293348	1	1	MPF_type	MPF_T
SAMN04293350	1	1	relaxase_type	MOBF
SAMN04293350	1	1	virb4	virb4
SAMN04293350	11	10	MPF_type	MPF_F
SAMN04293364	3	1	relaxase_type	MOBF
SAMN04293364	1	1	relaxase_type	MOBP1
SAMN04293364	2	1	virb4	virb4
SAMN04293364	19	10	MPF_type	MPF_F
SAMN04293364	15	15	MPF_type	MPF_I
SAMN04293368	1	1	relaxase_type	MOBF
SAMN04293368	2	1	relaxase_type	MOBP1
SAMN04293368	2	1	virb4	virb4
SAMN04293368	15	11	MPF_type	MPF_F
SAMN04293368	2	2	MPF_type	MPF_T
SAMN04293370	1	1	relaxase_type	MOBF
SAMN04293370	1	1	virb4	virb4
SAMN04293370	11	10	MPF_type	MPF_F
SAMN04293376	1	1	relaxase_type	MOBP1
SAMN04293376	1	1	virb4	virb4
SAMN04293376	6	6	MPF_type	MPF_T
SAMN04293378	2	1	relaxase_type	MOBP1
SAMN04293378	1	1	relaxase_type	MOBQ
SAMN04293378	1	1	virb4	virb4
SAMN04293378	3	1	MPF_type	MPF_F
SAMN04293378	18	18	MPF_type	MPF_G
SAMN04293378	15	15	MPF_type	MPF_I
SAMN04293378	1	1	MPF_type	MPF_T
SAMN04293387	1	1	relaxase_type	MOBF
SAMN04293387	1	1	relaxase_type	MOBH
SAMN04293387	1	1	virb4	virb4
SAMN04293387	8	5	MPF_type	MPF_F
SAMN04293387	20	18	MPF_type	MPF_G
SAMN04293387	1	1	MPF_type	MPF_T
SAMN04293391	1	1	relaxase_type	MOBF
SAMN04293391	3	1	relaxase_type	MOBP1
SAMN04293391	1	1	virb4	virb4
SAMN04293391	10	10	MPF_type	MPF_F
SAMN04293391	3	3	MPF_type	MPF_T
SAMN04293399	1	1	relaxase_type	MOBF
SAMN04293399	1	1	relaxase_type	MOBQ
SAMN04293399	1	1	virb4	virb4
SAMN04293399	10	10	MPF_type	MPF_F
SAMN04293406	1	1	MPF_type	MPF_F
SAMN04293420	1	1	relaxase_type	MOBF
SAMN04293420	1	1	relaxase_type	MOBQ
SAMN04293420	2	1	virb4	virb4
SAMN04293420	10	10	MPF_type	MPF_F
SAMN04293420	5	5	MPF_type	MPF_T
SAMN04293421	1	1	relaxase_type	MOBF
SAMN04293421	1	1	virb4	virb4
SAMN04293421	12	10	MPF_type	MPF_F
SAMN04293426	1	1	relaxase_type	MOBH
SAMN04293426	1	1	relaxase_type	MOBP1
SAMN04293426	2	1	relaxase_type	MOBQ
SAMN04293426	2	1	virb4	virb4
SAMN04293426	12	6	MPF_type	MPF_F
SAMN04293426	20	18	MPF_type	MPF_G
SAMN04293426	16	15	MPF_type	MPF_I
SAMN04293426	1	1	MPF_type	MPF_T
SAMN04293429	1	1	relaxase_type	MOBH
SAMN04293429	1	1	relaxase_type	MOBP1
SAMN04293429	1	1	relaxase_type	MOBQ
SAMN04293429	1	1	virb4	virb4
SAMN04293429	11	10	MPF_type	MPF_F
SAMN04293429	5	5	MPF_type	MPF_I
SAMN04293429	1	1	MPF_type	MPF_T
SAMN04293431	1	1	relaxase_type	MOBF
SAMN04293431	1	1	relaxase_type	MOBQ
SAMN04293431	1	1	virb4	virb4
SAMN04293431	11	10	MPF_type	MPF_F
SAMN04293434	1	1	MPF_type	MPF_F
SAMN04335033	1	1	relaxase_type	MOBP1
SAMN04335033	3	1	MPF_type	MPF_F
SAMN04335033	1	1	MPF_type	MPF_T
SAMN04335042	2	1	relaxase_type	MOBP1
SAMN04335042	2	1	MPF_type	MPF_F
SAMN04335042	2	2	MPF_type	MPF_T
SAMN04338474	1	1	relaxase_type	MOBF
SAMN04338474	1	1	relaxase_type	MOBH
SAMN04338474	2	1	relaxase_type	MOBP1
SAMN04338474	6	1	virb4	virb4
SAMN04338474	12	10	MPF_type	MPF_F
SAMN04338474	32	18	MPF_type	MPF_G
SAMN04338474	15	15	MPF_type	MPF_I
SAMN04338474	2	2	MPF_type	MPF_T
SAMN04338475	1	1	relaxase_type	MOBF
SAMN04338475	1	1	relaxase_type	MOBH
SAMN04338475	1	1	relaxase_type	MOBP1
SAMN04338475	4	1	virb4	virb4
SAMN04338475	14	10	MPF_type	MPF_F
SAMN04338475	32	17	MPF_type	MPF_G
SAMN04338475	15	15	MPF_type	MPF_I
SAMN04338475	2	2	MPF_type	MPF_T
SAMN04338476	1	1	relaxase_type	MOBF
SAMN04338476	2	1	relaxase_type	MOBP1
SAMN04338476	4	1	virb4	virb4
SAMN04338476	13	10	MPF_type	MPF_F
SAMN04338476	32	18	MPF_type	MPF_G
SAMN04338476	16	15	MPF_type	MPF_I
SAMN04338476	1	1	MPF_type	MPF_T
SAMN04338478	2	1	relaxase_type	MOBP1
SAMN04338478	5	4	MPF_type	MPF_F
SAMN04338478	15	15	MPF_type	MPF_I
SAMN04338478	1	1	MPF_type	MPF_T
SAMN04338495	1	1	relaxase_type	MOBH
SAMN04338495	1	1	relaxase_type	MOBP1
SAMN04338495	3	1	virb4	virb4
SAMN04338495	2	1	MPF_type	MPF_F
SAMN04338495	29	18	MPF_type	MPF_G
SAMN04338495	11	11	MPF_type	MPF_I
SAMN04338495	2	2	MPF_type	MPF_T
SAMN04338506	2	1	relaxase_type	MOBP1
SAMN04338506	11	1	MPF_type	MPF_F
SAMN04338506	5	5	MPF_type	MPF_I
SAMN04338506	1	1	MPF_type	MPF_T
SAMN04396076	1	1	relaxase_type	MOBF
SAMN04396076	3	1	relaxase_type	MOBP1
SAMN04396076	2	1	virb4	virb4
SAMN04396076	11	10	MPF_type	MPF_F
SAMN04396076	6	6	MPF_type	MPF_T
SAMN04396077	1	1	relaxase_type	MOBF
SAMN04396077	1	1	relaxase_type	MOBP1
SAMN04396077	2	1	virb4	virb4
SAMN04396077	10	10	MPF_type	MPF_F
SAMN04396077	7	6	MPF_type	MPF_T
SAMN04396078	1	1	relaxase_type	MOBF
SAMN04396078	2	1	relaxase_type	MOBP1
SAMN04396078	2	1	virb4	virb4
SAMN04396078	11	10	MPF_type	MPF_F
SAMN04396078	7	6	MPF_type	MPF_T
SAMN04396080	1	1	relaxase_type	MOBF
SAMN04396080	1	1	relaxase_type	MOBP1
SAMN04396080	1	1	MPF_type	MPF_F
SAMN04396085	2	1	relaxase_type	MOBF
SAMN04396085	2	1	relaxase_type	MOBP1
SAMN04396085	2	1	virb4	virb4
SAMN04396085	11	10	MPF_type	MPF_F
SAMN04396085	6	6	MPF_type	MPF_T
SAMN04396086	1	1	relaxase_type	MOBF
SAMN04396086	4	1	relaxase_type	MOBP1
SAMN04396086	2	1	virb4	virb4
SAMN04396086	10	10	MPF_type	MPF_F
SAMN04396086	6	6	MPF_type	MPF_T
SAMN04422322	2	1	relaxase_type	MOBP1
SAMN04422322	1	1	virb4	virb4
SAMN04422322	2	1	MPF_type	MPF_F
SAMN04422322	5	5	MPF_type	MPF_T
SAMN04422324	1	1	relaxase_type	MOBP1
SAMN04422324	1	1	relaxase_type	MOBQ
SAMN04422324	1	1	MPF_type	MPF_F
SAMN04422324	15	15	MPF_type	MPF_I
SAMN04422352	1	1	relaxase_type	MOBF
SAMN04422352	1	1	relaxase_type	MOBP1
SAMN04422352	1	1	virb4	virb4
SAMN04422352	12	10	MPF_type	MPF_F
SAMN04422366	1	1	relaxase_type	MOBP1
SAMN04422366	2	1	MPF_type	MPF_F
SAMN04422366	1	1	MPF_type	MPF_T
SAMN04422378	2	1	relaxase_type	MOBP1
SAMN04422378	1	1	virb4	virb4
SAMN04422378	2	1	MPF_type	MPF_F
SAMN04422378	8	6	MPF_type	MPF_T
SAMN04422382	1	1	relaxase_type	MOBP1
SAMN04422382	1	1	virb4	virb4
SAMN04422382	2	1	MPF_type	MPF_F
SAMN04422382	6	6	MPF_type	MPF_T
SAMN04422386	1	1	relaxase_type	MOBP1
SAMN04422386	1	1	virb4	virb4
SAMN04422386	2	1	MPF_type	MPF_F
SAMN04422386	7	6	MPF_type	MPF_T
SAMN04422389	1	1	relaxase_type	MOBP1
SAMN04422389	1	1	virb4	virb4
SAMN04422389	2	1	MPF_type	MPF_F
SAMN04422389	7	6	MPF_type	MPF_T
SAMN04422390	1	1	relaxase_type	MOBP1
SAMN04422390	1	1	virb4	virb4
SAMN04422390	2	1	MPF_type	MPF_F
SAMN04422390	7	6	MPF_type	MPF_T
SAMN04422393	1	1	relaxase_type	MOBP1
SAMN04422393	1	1	virb4	virb4
SAMN04422393	2	1	MPF_type	MPF_F
SAMN04422393	7	6	MPF_type	MPF_T
SAMN04422400	1	1	relaxase_type	MOBP1
SAMN04422400	1	1	virb4	virb4
SAMN04422400	2	1	MPF_type	MPF_F
SAMN04422400	7	6	MPF_type	MPF_T
SAMN04422406	1	1	relaxase_type	MOBP1
SAMN04422406	1	1	virb4	virb4
SAMN04422406	2	1	MPF_type	MPF_F
SAMN04422406	7	6	MPF_type	MPF_T
SAMN04422416	1	1	relaxase_type	MOBP1
SAMN04422416	1	1	virb4	virb4
SAMN04422416	2	1	MPF_type	MPF_F
SAMN04422416	7	6	MPF_type	MPF_T
SAMN04422419	1	1	relaxase_type	MOBP1
SAMN04422419	1	1	virb4	virb4
SAMN04422419	2	1	MPF_type	MPF_F
SAMN04422419	7	6	MPF_type	MPF_T
SAMN04422420	1	1	relaxase_type	MOBP1
SAMN04422420	1	1	virb4	virb4
SAMN04422420	2	1	MPF_type	MPF_F
SAMN04422420	7	6	MPF_type	MPF_T
SAMN04422423	1	1	relaxase_type	MOBP1
SAMN04422423	1	1	virb4	virb4
SAMN04422423	2	1	MPF_type	MPF_F
SAMN04422423	7	6	MPF_type	MPF_T
SAMN04422425	1	1	relaxase_type	MOBP1
SAMN04422425	1	1	virb4	virb4
SAMN04422425	2	1	MPF_type	MPF_F
SAMN04422425	7	6	MPF_type	MPF_T
SAMN04422431	1	1	relaxase_type	MOBP1
SAMN04422431	1	1	virb4	virb4
SAMN04422431	3	1	MPF_type	MPF_F
SAMN04422431	7	6	MPF_type	MPF_T
SAMN04422435	2	1	relaxase_type	MOBP1
SAMN04422435	1	1	virb4	virb4
SAMN04422435	2	1	MPF_type	MPF_F
SAMN04422435	7	6	MPF_type	MPF_T
SAMN04422437	1	1	relaxase_type	MOBP1
SAMN04422437	1	1	virb4	virb4
SAMN04422437	3	1	MPF_type	MPF_F
SAMN04422437	7	6	MPF_type	MPF_T
SAMN04422439	1	1	relaxase_type	MOBP1
SAMN04422439	1	1	virb4	virb4
SAMN04422439	2	1	MPF_type	MPF_F
SAMN04422439	7	6	MPF_type	MPF_T
SAMN04429906	1	1	relaxase_type	MOBP1
SAMN04429906	1	1	virb4	virb4
SAMN04429906	2	1	MPF_type	MPF_F
SAMN04429906	7	6	MPF_type	MPF_T
SAMN04446958	1	1	MPF_type	MPF_F
SAMN04510378	2	1	relaxase_type	MOBP1
SAMN04510378	2	1	MPF_type	MPF_F
SAMN04510378	1	1	MPF_type	MPF_T
SAMN04510388	1	1	relaxase_type	MOBP1
SAMN04510388	3	1	MPF_type	MPF_F
SAMN04510388	1	1	MPF_type	MPF_T
SAMN04510394	3	1	relaxase_type	MOBP1
SAMN04510394	2	1	MPF_type	MPF_F
SAMN04510394	2	2	MPF_type	MPF_T
SAMN04510412	3	1	relaxase_type	MOBP1
SAMN04510412	2	1	MPF_type	MPF_F
SAMN04510412	1	1	MPF_type	MPF_T
SAMN04510413	3	1	relaxase_type	MOBP1
SAMN04510413	3	1	MPF_type	MPF_F
SAMN04510413	2	2	MPF_type	MPF_T
SAMN04510419	1	1	relaxase_type	MOBP1
SAMN04510419	2	1	MPF_type	MPF_F
SAMN04510419	1	1	MPF_type	MPF_T
SAMN04510557	1	1	relaxase_type	MOBF
SAMN04510557	3	1	virb4	virb4
SAMN04510557	25	11	MPF_type	MPF_F
SAMN04510557	1	1	MPF_type	MPF_I
SAMN04510561	1	1	relaxase_type	MOBH
SAMN04510561	5	5	MPF_type	MPF_F
SAMN04510562	1	1	relaxase_type	MOBH
SAMN04510562	5	5	MPF_type	MPF_F
SAMN04510563	1	1	relaxase_type	MOBP1
SAMN04510563	1	1	MPF_type	MPF_T
SAMN04510568	1	1	relaxase_type	MOBH
SAMN04510568	1	1	relaxase_type	MOBP1
SAMN04510568	5	5	MPF_type	MPF_F
SAMN04902851	1	1	relaxase_type	MOBF
SAMN04902851	1	1	relaxase_type	MOBP1
SAMN04902851	1	1	virb4	virb4
SAMN04902851	11	10	MPF_type	MPF_F
SAMN04902855	1	1	relaxase_type	MOBH
SAMN04902855	1	1	relaxase_type	MOBQ
SAMN04902855	1	1	virb4	virb4
SAMN04902855	15	10	MPF_type	MPF_F
SAMN04902856	1	1	relaxase_type	MOBP1
SAMN04902860	1	1	relaxase_type	MOBF
SAMN04902860	1	1	relaxase_type	MOBH
SAMN04902860	2	1	relaxase_type	MOBP1
SAMN04902860	3	1	virb4	virb4
SAMN04902860	22	12	MPF_type	MPF_F
SAMN04902860	7	4	MPF_type	MPF_T
SAMN04902864	1	1	relaxase_type	MOBH
SAMN04902864	1	1	virb4	virb4
SAMN04902864	14	14	MPF_type	MPF_G
SAMN04902864	1	1	MPF_type	MPF_T
SAMN04902866	1	1	relaxase_type	MOBP1
SAMN04902866	2	1	MPF_type	MPF_F
SAMN04902866	2	1	MPF_type	MPF_G
SAMN04902866	15	15	MPF_type	MPF_I
SAMN04902866	1	1	MPF_type	MPF_T
SAMN04902873	2	1	relaxase_type	MOBF
SAMN04902873	1	1	relaxase_type	MOBP1
SAMN04902873	2	1	virb4	virb4
SAMN04902873	21	11	MPF_type	MPF_F
SAMN04902873	1	1	MPF_type	MPF_T
SAMN04902882	1	1	relaxase_type	MOBF
SAMN04902882	2	1	relaxase_type	MOBP1
SAMN04902882	2	1	virb4	virb4
SAMN04902882	11	10	MPF_type	MPF_F
SAMN04902882	14	14	MPF_type	MPF_I
SAMN04902882	7	6	MPF_type	MPF_T
SAMN04902883	1	1	relaxase_type	MOBF
SAMN04902883	1	1	relaxase_type	MOBP1
SAMN04902883	2	1	virb4	virb4
SAMN04902883	11	10	MPF_type	MPF_F
SAMN04902883	14	14	MPF_type	MPF_I
SAMN04902883	6	6	MPF_type	MPF_T
SAMN04902892	3	1	relaxase_type	MOBF
SAMN04902892	3	1	relaxase_type	MOBP1
SAMN04902892	1	1	virb4	virb4
SAMN04902892	25	10	MPF_type	MPF_F
SAMN04902892	15	15	MPF_type	MPF_I
SAMN04902892	4	3	MPF_type	MPF_T
SAMN04913896	2	1	relaxase_type	MOBF
SAMN04913896	1	1	MPF_type	MPF_T
SAMN04942837	1	1	relaxase_type	MOBH
SAMN04942837	1	1	relaxase_type	MOBP1
SAMN04942837	1	1	relaxase_type	MOBQ
SAMN04942837	1	1	virb4	virb4
SAMN04942837	8	8	MPF_type	MPF_F
SAMN04942837	1	1	MPF_type	MPF_T
SAMN04942838	1	1	relaxase_type	MOBH
SAMN04942838	1	1	relaxase_type	MOBP1
SAMN04942838	1	1	relaxase_type	MOBQ
SAMN04942838	1	1	virb4	virb4
SAMN04942838	8	8	MPF_type	MPF_F
SAMN04942838	1	1	MPF_type	MPF_T
SAMN04942840	1	1	MPF_type	MPF_G
SAMN05163867	1	1	MPF_type	MPF_G
SAMN05163875	1	1	relaxase_type	MOBF
SAMN05163875	1	1	relaxase_type	MOBH
SAMN05163875	1	1	relaxase_type	MOBP1
SAMN05163875	1	1	virb4	virb4
SAMN05163875	16	11	MPF_type	MPF_F
SAMN05171462	1	1	relaxase_type	MOBF
SAMN05171462	3	1	relaxase_type	MOBP1
SAMN05171462	1	1	relaxase_type	MOBQ
SAMN05171462	1	1	virb4	virb4
SAMN05171462	13	10	MPF_type	MPF_F
SAMN05232926	1	1	relaxase_type	MOBF
SAMN05232926	1	1	relaxase_type	MOBH
SAMN05232926	1	1	relaxase_type	MOBP1
SAMN05232926	2	1	virb4	virb4
SAMN05232926	18	11	MPF_type	MPF_F
SAMN05232926	6	6	MPF_type	MPF_T
SAMN05232927	1	1	relaxase_type	MOBF
SAMN05232927	2	1	virb4	virb4
SAMN05232927	14	11	MPF_type	MPF_F
SAMN05232927	12	12	MPF_type	MPF_G
SAMN05232927	1	1	MPF_type	MPF_T
SAMN05232928	1	1	relaxase_type	MOBF
SAMN05232928	2	1	virb4	virb4
SAMN05232928	15	11	MPF_type	MPF_F
SAMN05232928	12	12	MPF_type	MPF_G
SAMN05232928	1	1	MPF_type	MPF_T
SAMN05275927	5	1	MPF_type	MPF_F
SAMN05326673	3	1	relaxase_type	MOBP1
SAMN05326673	3	1	MPF_type	MPF_F
SAMN05326673	1	1	MPF_type	MPF_T
SAMN05326676	1	1	relaxase_type	MOBP1
SAMN05326676	2	1	MPF_type	MPF_F
SAMN05326676	1	1	MPF_type	MPF_T
SAMN05326678	2	1	relaxase_type	MOBP1
SAMN05326678	3	1	MPF_type	MPF_F
SAMN05326678	1	1	MPF_type	MPF_T
SAMN05326683	2	1	relaxase_type	MOBP1
SAMN05326683	1	1	MPF_type	MPF_F
SAMN05326683	1	1	MPF_type	MPF_T
